time mean min max stdev
0 37.4 0.0 63.0 32.19454750247142
1 76.3 0.0 255.0 89.02190741609617
2 140.1 0.0 255.0 111.65766132842535
3 226.8 0.0 512.0 188.43967499205445
4 557.4 243.0 895.0 220.5544528379934
5 887.5 510.0 1277.0 274.2631542474814
6 1124.7 767.0 1408.0 275.6781738831632
7 1038.0 639.0 1974.0 358.82493410203995
8 968.0 488.0 1372.0 261.6596602034364
9 1016.0 487.0 2007.0 415.43925883067163
10 1014.4 512.0 1536.0 316.97570884848574
11 1004.4 371.0 1662.0 421.13318030707995
12 965.8 615.0 1358.0 262.0054282728594
13 736.4 348.0 1232.0 314.4261792889107
14 153.8 0.0 487.0 179.3784329907646
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
