time mean min max stdev
0 69.81818181818181 0.0 768.0 231.5607126357225
1 139.63636363636363 0.0 1536.0 463.121425271445
2 267.6363636363636 0.0 2944.0 887.6493984369362
3 473.8181818181818 0.0 3932.0 1172.3799570260333
4 981.4545454545455 0.0 4908.0 1452.4068550951117
5 1790.5454545454545 0.0 5908.0 1651.5779341972552
6 2814.181818181818 256.0 6908.0 1723.2205789266688
7 3759.2727272727275 1152.0 7932.0 1717.2040700457876
8 4639.272727272727 2292.0 8792.0 1626.4747825225627
9 5565.090909090909 3304.0 10000.0 1711.8496110666647
10 6487.272727272727 4408.0 10000.0 1462.2008816102589
11 7401.818181818182 5292.0 10000.0 1240.2765673979186
12 8281.09090909091 6420.0 10000.0 942.6551282993644
13 8950.545454545454 7396.0 10000.0 708.3417767767709
14 9090.90909090909 8000.0 10000.0 539.3598899705937
15 9090.90909090909 8000.0 10000.0 539.3598899705937
16 9090.90909090909 8000.0 10000.0 539.3598899705937
