time mean min max stdev
0 76.8 0.0 128.0 66.09891577527326
1 153.6 0.0 256.0 80.95430810031051
2 294.4 256.0 384.0 61.82987411707494
3 521.2 256.0 768.0 173.83568231075128
4 1079.6 884.0 1268.0 137.75921021840972
5 1969.6 1652.0 2280.0 223.36576878892313
6 3095.6 2804.0 3408.0 193.89298308316597
7 4135.2 3688.0 4780.0 286.04148883218556
8 5103.2 4780.0 5640.0 311.8962790558568
9 6121.6 5640.0 6792.0 405.2069978555542
10 7136.0 6396.0 7780.0 419.0613850552738
11 8142.0 7652.0 8920.0 361.40097767807254
12 9109.2 8536.0 9652.0 364.2223984814162
13 9845.6 9512.0 10000.0 179.75983978631044
14 10000.0 10000.0 10000.0 0.0
15 10000.0 10000.0 10000.0 0.0
16 10000.0 10000.0 10000.0 0.0
