time mean min max stdev
0 28.545454545454547 0.0 314.0 94.67456219741777
1 69.63636363636364 0.0 766.0 230.95768994656694
2 127.72727272727273 0.0 1405.0 423.6234391317579
3 206.1818181818182 0.0 988.0 355.2728017120979
4 506.72727272727275 0.0 1150.0 459.34868910427747
5 807.7272727272727 0.0 1150.0 401.9114556489006
6 1021.8181818181819 255.0 1278.0 267.75541756678547
7 943.5454545454545 579.0 1114.0 140.93215646995802
8 878.6363636363636 0.0 1138.0 335.34527661121837
9 923.4545454545455 255.0 1205.0 251.84096713456435
10 922.1818181818181 0.0 1280.0 325.9367479072644
11 913.2727272727273 0.0 1150.0 318.3400982939758
12 878.0909090909091 0.0 1266.0 367.9688722012922
13 669.4545454545455 0.0 1068.0 401.0517082961656
14 140.36363636363637 0.0 604.0 248.9302202334111
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
