time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           0.0                           0.0                           0.0                           0.0                           
1.001                         0.0                           0.125                         0.125                         0.125                         
2.002                         0.5                           0.375                         0.125                         0.25                          
3.002                         0.5                           0.5                           0.5                           0.5                           
4.002                         1.0                           0.875                         0.875                         0.75                          
5.003                         1.0                           1.0                           1.0                           1.0                           
6.003                         1.0                           1.0                           1.0                           1.0                           
7.004                         1.0                           1.0                           1.0                           1.0                           
