time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           82.0                          0.0                           0.0                           0.0                           0.0                           
1.001                         246.0                         0.0                           63.0                          95.0                          63.0                          
2.002                         252.0                         31.0                          281.0                         249.0                         281.0                         
3.002                         247.0                         256.0                         61.0                          189.0                         221.0                         
4.002                         28.0                          243.0                         252.0                         214.0                         182.0                         
5.003                         0.0                           218.0                         90.0                          0.0                           0.0                           
6.003                         0.0                           0.0                           0.0                           0.0                           0.0                           
7.004                         0.0                           0.0                           0.0                           0.0                           0.0                           
