time mean min max stdev
0 28.90909090909091 0.0 318.0 95.88060757572883
1 92.9090909090909 0.0 1022.0 308.14459415847443
2 172.0 0.0 1138.0 358.2800580551477
3 404.0 0.0 1152.0 442.59236324184354
4 583.7272727272727 0.0 1150.0 508.61637624226984
5 766.7272727272727 0.0 1229.0 430.4098258425546
6 840.7272727272727 0.0 1408.0 485.7713641023091
7 963.6363636363636 767.0 1150.0 141.68434827268163
8 873.0909090909091 0.0 1116.0 332.76101170222887
9 1010.2727272727273 834.0 1149.0 111.69430684604379
10 923.2727272727273 0.0 1194.0 317.48357151483947
11 776.0 0.0 1140.0 439.03895043606326
12 663.6363636363636 0.0 1152.0 467.067291239126
13 563.8181818181819 0.0 1242.0 550.2480928057485
14 298.72727272727275 0.0 1104.0 511.64071200581583
15 78.0909090909091 0.0 859.0 258.99824499229896
16 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0
