time mean min max stdev
0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0
2 0.01 0.0 0.05 0.021081851067789197
3 0.025 0.0 0.05 0.026352313834736497
4 0.065 0.05 0.1 0.024152294576982397
5 0.11499999999999999 0.05 0.25 0.05797509043642028
6 0.155 0.05 0.3 0.07975657409336932
7 0.265 0.2 0.35 0.04743416490252568
8 0.37 0.3 0.45 0.04216370213557841
9 0.475 0.35 0.55 0.05400617248673218
10 0.6100000000000001 0.5 0.75 0.08096638534327412
11 0.675 0.55 0.85 0.08579691784155832
12 0.7849999999999999 0.65 0.95 0.08834905520465715
13 0.915 0.85 0.95 0.04116363011742821
14 0.985 0.95 1.0 0.024152294576982418
15 1.0 1.0 1.0 0.0
16 1.0 1.0 1.0 0.0
17 1.0 1.0 1.0 0.0
