time mean min max stdev
0 69.81818181818181 0.0 768.0 231.5607126357225
1 162.9090909090909 0.0 1792.0 540.3083294833524
2 335.27272727272725 0.0 2932.0 876.1092501405394
3 739.2727272727273 0.0 3792.0 1148.1948520098051
4 1324.0 0.0 4932.0 1495.5122199433877
5 2092.7272727272725 0.0 5920.0 1694.0128152354157
6 2933.4545454545455 0.0 6920.0 1782.5449426949303
7 3898.5454545454545 1152.0 7896.0 1734.409661160613
8 4771.636363636364 2176.0 8896.0 1719.7687793844423
9 5784.363636363636 3176.0 10000.0 1733.356932240286
10 6709.090909090909 4152.0 10000.0 1537.3068304372719
11 7485.090909090909 4500.0 10000.0 1387.5896695021518
12 8148.727272727273 4500.0 10000.0 1408.8756574594574
13 8713.818181818182 4500.0 10908.0 1674.6546998221347
14 9012.727272727272 4500.0 12000.0 1969.7161770625273
15 9090.90909090909 4500.0 12000.0 2034.922379578418
16 9090.90909090909 4500.0 12000.0 2034.922379578418
17 9090.90909090909 4500.0 12000.0 2034.922379578418
