time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           224.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         474.0                         32.0                          160.0                         0.0                           0.0                           
2.002                         724.0                         288.0                         375.0                         64.0                          285.0                         
3.003                         971.0                         375.0                         503.0                         346.0                         503.0                         
4.003                         1000.0                        599.0                         750.0                         596.0                         750.0                         
5.003                         1000.0                        750.0                         750.0                         750.0                         750.0                         
6.004                         1000.0                        750.0                         750.0                         750.0                         750.0                         
7.004                         1000.0                        750.0                         750.0                         750.0                         750.0                         
