time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           83.0                          0.0                           0.0                           0.0                           0.0                           
1.002                         249.0                         31.0                          159.0                         0.0                           0.0                           
2.003                         249.0                         255.0                         214.0                         63.0                          284.0                         
3.004                         246.0                         86.0                          127.0                         281.0                         217.0                         
4.004                         29.0                          224.0                         247.0                         250.0                         247.0                         
5.004                         0.0                           151.0                         0.0                           154.0                         0.0                           
6.005                         0.0                           0.0                           0.0                           0.0                           0.0                           
7.005                         0.0                           0.0                           0.0                           0.0                           0.0                           
