time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           28.0                          46.0                          15.0                          15.0                          
1.001                         124.0                         92.0                          127.0                         95.0                          
2.002                         220.0                         284.0                         313.0                         249.0                         
3.003                         406.0                         153.0                         153.0                         246.0                         
4.003                         183.0                         282.0                         311.0                         221.0                         
5.003                         0.0                           90.0                          61.0                          154.0                         
6.004                         0.0                           0.0                           0.0                           0.0                           
7.004                         0.0                           0.0                           0.0                           0.0                           
