time Optional[local:ss-10000] 
0.0 0.0 
1.004 1216.0 
2.006 2240.0 
3.006 3200.0 
4.007 4160.0 
5.008 5248.0 
6.009 6208.0 
7.009 7232.0 
8.01 8192.0 
9.011 9152.0 
10.012 10240.0 
11.013 11200.0 
12.013 12224.0 
13.013 13248.0 
14.018 14144.0 
15.019 15168.0 
16.02 16192.0 
17.021 17216.0 
18.022 18240.0 
19.022 19200.0 
20.022 20224.0 
21.023 21248.0 
22.023 22208.0 
23.024 23236.0 
24.025 24200.0 
25.026 25236.0 
26.027 26204.0 
27.028 27236.0 
28.029 28200.0 
29.03 29224.0 
30.031 30184.0 
31.032 31208.0 
32.033 32232.0 
33.033 33192.0 
34.034 34152.0 
35.034 35240.0 
36.035 36200.0 
37.035 37224.0 
38.036 38248.0 
39.036 39144.0 
40.036 40232.0 
41.036 41192.0 
42.037 42216.0 
43.037 43240.0 
44.038 44136.0 
45.038 45224.0 
46.038 46248.0 
47.038 47212.0 
48.038 47980.0 
49.039 48952.0 
50.039 49980.0 
51.04 50944.0 
52.041 51976.0 
53.041 52940.0 
54.042 53968.0 
55.043 54992.0 
56.044 55952.0 
57.045 56976.0 
58.046 58000.0 
59.046 58960.0 
60.047 59984.0 
61.048 60944.0 
62.048 61904.0 
63.049 62992.0 
64.049 63952.0 
65.05 64976.0 
66.051 66000.0 
67.051 66960.0 
68.052 67984.0 
69.053 68944.0 
70.054 69908.0 
71.055 70996.0 
72.055 71956.0 
73.056 72988.0 
74.057 73948.0 
75.058 74976.0 
76.059 76000.0 
77.059 76972.0 
78.06 78000.0 
79.061 78968.0 
80.062 79992.0 
81.062 80952.0 
82.063 81976.0 
83.064 83000.0 
84.064 83960.0 
85.065 84920.0 
86.065 85944.0 
87.066 86968.0 
88.067 87992.0 
89.067 88952.0 
90.068 89976.0 
91.069 91000.0 
92.069 91960.0 
93.07 92988.0 
94.07 93948.0 
95.07 94972.0 
96.071 96000.0 
97.072 96964.0 
98.072 97992.0 
99.073 98952.0 
100.074 100000.0 
101.074 100000.0 
102.075 100000.0 
103.075 100000.0 
104.076 100000.0 
105.076 100000.0 
106.076 100000.0 
107.077 100000.0 
108.077 100000.0 
109.078 100000.0 
110.078 100000.0 
111.079 100000.0 
112.08 100000.0 
113.081 100000.0 
114.082 100000.0 
115.083 100000.0 
116.084 100000.0 
117.084 100000.0 
118.084 100000.0 
119.085 100000.0 
120.086 100000.0 
121.086 100000.0 
122.086 100000.0 
123.087 100000.0 
124.088 100000.0 
125.089 100000.0 
126.089 100000.0 
