time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           70.0                          0.0                           0.0                           0.0                           0.0                           
1.001                         281.0                         31.0                          223.0                         0.0                           0.0                           
2.002                         249.0                         255.0                         150.0                         127.0                         281.0                         
3.002                         246.0                         86.0                          223.0                         246.0                         220.0                         
4.004                         28.0                          220.0                         150.0                         284.0                         246.0                         
5.005                         0.0                           153.0                         0.0                           89.0                          0.0                           
6.006                         0.0                           0.0                           0.0                           0.0                           0.0                           
7.008                         0.0                           0.0                           0.0                           0.0                           0.0                           
