time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           192.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         474.0                         32.0                          224.0                         0.0                           0.0                           
2.002                         724.0                         288.0                         375.0                         128.0                         282.0                         
3.003                         971.0                         375.0                         599.0                         375.0                         503.0                         
4.004                         1000.0                        596.0                         750.0                         660.0                         750.0                         
5.005                         1000.0                        750.0                         750.0                         750.0                         750.0                         
6.007                         1000.0                        750.0                         750.0                         750.0                         750.0                         
7.008                         1000.0                        750.0                         750.0                         750.0                         750.0                         
