Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
6 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
7 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
8 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
9 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
10 306.3 0.0 1021.0 493.18985526198054 305.68223925726096
11 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0
13 102.4 0.0 1024.0 323.81723240124205 200.70399999999998
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
16 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
17 204.4 0.0 1022.0 430.91303582561113 267.0826666666666
18 408.8 0.0 1022.0 527.7585306431973 327.10812623758926
19 0.0 0.0 0.0 0.0 0.0
20 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
21 0.0 0.0 0.0 0.0 0.0
22 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
23 0.0 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0 0.0
25 204.2 0.0 1021.0 430.4913988042553 266.82133333333326
26 102.4 0.0 1024.0 323.81723240124205 200.70399999999998
27 0.0 0.0 0.0 0.0 0.0
28 306.6 0.0 1022.0 493.6729011535202 305.98163420266474
29 0.0 0.0 0.0 0.0 0.0
30 204.4 0.0 1022.0 430.91303582561113 267.0826666666666
31 0.0 0.0 0.0 0.0 0.0
32 0.0 0.0 0.0 0.0 0.0
33 204.4 0.0 1022.0 430.91303582561113 267.0826666666666
34 0.0 0.0 0.0 0.0 0.0
35 204.4 0.0 1022.0 430.91303582561113 267.0826666666666
36 0.0 0.0 0.0 0.0 0.0
37 306.6 0.0 1022.0 493.6729011535202 305.98163420266474
38 0.0 0.0 0.0 0.0 0.0
39 204.4 0.0 1022.0 430.91303582561113 267.0826666666666
40 102.4 0.0 1024.0 323.81723240124205 200.70399999999998
41 0.0 0.0 0.0 0.0 0.0
42 102.2 0.0 1022.0 323.18477686920835 200.31199999999995
43 0.0 0.0 0.0 0.0 0.0
