time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           192.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         471.0                         64.0                          64.0                          96.0                          0.0                           
2.002                         724.0                         346.0                         346.0                         346.0                         64.0                          
3.002                         971.0                         407.0                         567.0                         567.0                         346.0                         
4.004                         1000.0                        660.0                         750.0                         846.0                         375.0                         
5.006                         1000.0                        750.0                         750.0                         1096.0                        375.0                         
6.007                         1000.0                        750.0                         750.0                         1125.0                        375.0                         
7.007                         1000.0                        750.0                         750.0                         1125.0                        375.0                         
8.008                         1000.0                        750.0                         750.0                         1125.0                        375.0                         
