time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           32.0                          96.0                          32.0                          32.0                          
1.001                         253.0                         157.0                         189.0                         96.0                          
2.001                         471.0                         471.0                         442.0                         442.0                         
3.002                         817.0                         625.0                         756.0                         660.0                         
4.003                         971.0                         846.0                         1000.0                        814.0                         
5.005                         1000.0                        971.0                         1000.0                        1000.0                        
6.006                         1000.0                        1000.0                        1000.0                        1000.0                        
7.006                         1000.0                        1000.0                        1000.0                        1000.0                        
8.007                         1000.0                        1000.0                        1000.0                        1000.0                        
