time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           128.0                         125.0                         32.0                          32.0                          
1.001                         224.0                         189.0                         250.0                         192.0                         
2.002                         535.0                         506.0                         474.0                         439.0                         
3.002                         782.0                         657.0                         689.0                         756.0                         
4.003                         939.0                         939.0                         846.0                         971.0                         
5.004                         1000.0                        1000.0                        1000.0                        1000.0                        
6.006                         1000.0                        1000.0                        1000.0                        1000.0                        
7.006                         1000.0                        1000.0                        1000.0                        1000.0                        
