time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           0.0                           0.125                         0.0                           0.0                           
1.002                         0.0                           0.125                         0.25                          0.0                           
2.003                         0.375                         0.25                          0.25                          0.375                         
3.003                         0.75                          0.625                         0.625                         0.5                           
4.004                         0.875                         0.875                         0.75                          0.875                         
5.005                         1.0                           1.0                           1.0                           1.0                           
6.006                         1.0                           1.0                           1.0                           1.0                           
7.007                         1.0                           1.0                           1.0                           1.0                           
