time Optional[local:s-0] 
0.0 0.0 
1.004 1832.0 
2.007 2137.0 
3.008 1998.0 
4.009 1998.0 
5.01 1982.0 
6.01 2000.0 
7.012 1940.0 
8.013 1998.0 
9.013 2056.0 
10.014 1998.0 
11.015 2013.0 
12.015 2000.0 
13.016 1998.0 
14.017 1998.0 
15.018 1982.0 
16.021 1866.0 
17.021 2144.0 
18.022 1998.0 
19.022 2000.0 
20.023 2013.0 
21.024 0.0 
22.025 0.0 
23.026 0.0 
24.027 0.0 
25.027 0.0 
26.029 0.0 
27.029 0.0 
28.03 0.0 
29.031 0.0 
30.032 0.0 
31.033 0.0 
32.034 0.0 
33.034 0.0 
34.034 0.0 
35.034 0.0 
36.035 0.0 
37.035 0.0 
38.037 0.0 
39.037 0.0 
40.038 0.0 
