SortedPeers TotalUploaded
0 7488600.0
1 7443900.0
2 7416900.0
3 7375800.0
4 7337700.0
5 7332300.0
6 7316400.0
7 7291800.0
8 7281900.0
9 7261500.0
10 7190100.0
11 7178700.0
12 7172100.0
13 7166700.0
14 7152300.0
15 7122300.0
16 7118100.0
17 7082400.0
18 7080600.0
19 7058400.0
20 7040700.0
21 7037400.0
22 7029300.0
23 7022100.0
24 7013700.0
25 7011900.0
26 7005900.0
27 7002000.0
28 6998100.0
29 6985200.0
30 6979200.0
31 6971700.0
32 6964500.0
33 6954600.0
34 6947100.0
35 6937200.0
36 6936900.0
37 6932400.0
38 6932100.0
39 6930600.0
40 6928200.0
41 6919500.0
42 6918900.0
43 6914700.0
44 6912300.0
45 6901500.0
46 6899400.0
47 6898500.0
48 6892200.0
49 6888300.0
50 6873000.0
51 6864600.0
52 6860100.0
53 6852300.0
54 6841800.0
55 6829500.0
56 6828600.0
57 6825600.0
58 6815100.0
59 6796800.0
60 6777600.0
61 6752700.0
62 6751800.0
63 6744600.0
64 6738900.0
65 6723000.0
66 6721200.0
67 6712200.0
68 6711600.0
69 6709200.0
70 6708300.0
71 6703200.0
72 6694200.0
73 6669600.0
74 6667500.0
75 6664200.0
76 6663900.0
77 6621900.0
78 6611700.0
79 6597300.0
80 6588300.0
81 6579900.0
82 6577200.0
83 6575400.0
84 6574800.0
85 6564300.0
86 6559800.0
87 6528000.0
88 6526200.0
89 6521100.0
90 6518400.0
91 6505200.0
92 6491100.0
93 6465600.0
94 6449400.0
95 6441600.0
96 6430800.0
97 6399900.0
98 6295500.0
99 6247200.0
