SortedPeers TotalDownloaded
0 6990300.0
1 6982200.0
2 6975000.0
3 6971100.0
4 6969300.0
5 6961800.0
6 6960300.0
7 6959400.0
8 6957600.0
9 6955500.0
10 6954300.0
11 6954000.0
12 6952500.0
13 6951900.0
14 6951600.0
15 6950100.0
16 6950100.0
17 6949800.0
18 6947400.0
19 6947400.0
20 6946500.0
21 6945600.0
22 6943200.0
23 6940200.0
24 6937500.0
25 6935700.0
26 6934500.0
27 6934200.0
28 6933300.0
29 6932700.0
30 6932100.0
31 6931800.0
32 6929700.0
33 6928800.0
34 6927900.0
35 6927600.0
36 6927000.0
37 6926700.0
38 6926100.0
39 6925500.0
40 6924300.0
41 6923700.0
42 6923700.0
43 6923100.0
44 6923100.0
45 6921900.0
46 6921600.0
47 6921300.0
48 6919800.0
49 6919500.0
50 6918600.0
51 6917700.0
52 6917400.0
53 6917400.0
54 6917100.0
55 6916800.0
56 6916500.0
57 6916500.0
58 6915900.0
59 6915000.0
60 6914700.0
61 6912600.0
62 6912300.0
63 6911400.0
64 6910800.0
65 6910500.0
66 6910200.0
67 6909000.0
68 6907800.0
69 6906600.0
70 6905700.0
71 6905400.0
72 6904800.0
73 6903900.0
74 6903900.0
75 6902700.0
76 6902100.0
77 6901500.0
78 6899100.0
79 6898800.0
80 6897600.0
81 6897000.0
82 6896100.0
83 6893700.0
84 6892500.0
85 6892500.0
86 6892500.0
87 6891600.0
88 6889200.0
89 6888300.0
90 6887400.0
91 6886200.0
92 6885000.0
93 6883800.0
94 6883200.0
95 6876600.0
96 6869400.0
97 6864300.0
98 6862200.0
99 6856500.0
