SortedPeers Time
0 1017
1 1016
2 1016
3 1016
4 1015
5 1015
6 1015
7 1015
8 1014
9 1014
10 1014
11 1013
12 1013
13 1012
14 1012
15 1011
16 1011
17 1011
18 1011
19 1011
20 1010
21 1010
22 1010
23 1009
24 1008
25 1007
26 1006
27 1006
28 1005
29 1005
30 1004
31 1004
32 1004
33 1003
34 1003
35 1002
36 1002
37 1002
38 1000
39 999
40 997
41 996
42 996
43 996
44 995
45 994
46 993
47 992
48 992
49 991
50 990
51 990
52 990
53 990
54 989
55 988
56 988
57 988
58 988
59 987
60 986
61 986
62 985
63 985
64 984
65 983
66 983
67 983
68 983
69 982
70 981
71 981
72 981
73 980
74 979
75 979
76 979
77 979
78 978
79 978
80 978
81 978
82 978
83 977
84 977
85 977
86 977
87 976
88 976
89 975
90 975
91 973
92 972
93 970
94 968
95 967
96 966
97 965
98 965
99 961
