SortedPeers TotalDownloaded
0 7059300.0
1 7050000.0
2 7049700.0
3 7047000.0
4 7046100.0
5 7046100.0
6 7044900.0
7 7044000.0
8 7042200.0
9 7038900.0
10 7036800.0
11 7036200.0
12 7035900.0
13 7029600.0
14 7027500.0
15 7026600.0
16 7023900.0
17 7021500.0
18 7021200.0
19 7020900.0
20 7020600.0
21 7020000.0
22 7019700.0
23 7019100.0
24 7018500.0
25 7017600.0
26 7015200.0
27 7014300.0
28 7013400.0
29 7013100.0
30 7012800.0
31 7011900.0
32 7011600.0
33 7009800.0
34 7009500.0
35 7008900.0
36 7008600.0
37 7008600.0
38 7007400.0
39 7007100.0
40 7007100.0
41 7007100.0
42 7005600.0
43 7005000.0
44 7004700.0
45 7002900.0
46 7002600.0
47 7002000.0
48 7001700.0
49 7000200.0
50 7000200.0
51 6999900.0
52 6995700.0
53 6995400.0
54 6994500.0
55 6994500.0
56 6994200.0
57 6994200.0
58 6994200.0
59 6993900.0
60 6993900.0
61 6993300.0
62 6993300.0
63 6993000.0
64 6992400.0
65 6990900.0
66 6989700.0
67 6989400.0
68 6988800.0
69 6988800.0
70 6988200.0
71 6987300.0
72 6986400.0
73 6985500.0
74 6985200.0
75 6984000.0
76 6982500.0
77 6982500.0
78 6979500.0
79 6979500.0
80 6979200.0
81 6978900.0
82 6977400.0
83 6974700.0
84 6974100.0
85 6973500.0
86 6973200.0
87 6969000.0
88 6969000.0
89 6967800.0
90 6967500.0
91 6966600.0
92 6963600.0
93 6958800.0
94 6958200.0
95 6951600.0
96 6942300.0
97 6929700.0
98 6929400.0
99 6927300.0
