SortedPeers Time
0 1057
1 1057
2 1056
3 1056
4 1056
5 1055
6 1053
7 1053
8 1053
9 1053
10 1053
11 1052
12 1052
13 1052
14 1052
15 1051
16 1051
17 1051
18 1051
19 1050
20 1050
21 1050
22 1049
23 1049
24 1048
25 1048
26 1047
27 1047
28 1046
29 1045
30 1045
31 1045
32 1045
33 1045
34 1043
35 1042
36 1042
37 1041
38 1041
39 1041
40 1041
41 1040
42 1040
43 1040
44 1037
45 1037
46 1036
47 1034
48 1034
49 1034
50 1033
51 1033
52 1032
53 1031
54 1030
55 1029
56 1029
57 1028
58 1027
59 1027
60 1023
61 1023
62 1023
63 1022
64 1022
65 1022
66 1021
67 1020
68 1019
69 1019
70 1017
71 1017
72 1016
73 1015
74 1015
75 1014
76 1014
77 1011
78 1009
79 1007
80 1005
81 1004
82 1002
83 1002
84 1002
85 998
86 996
87 995
88 995
89 994
90 994
91 994
92 993
93 993
94 991
95 989
96 988
97 986
98 985
99 982
