SortedPeers TotalUploaded
0 7715100.0
1 7570800.0
2 7563300.0
3 7495500.0
4 7479300.0
5 7448400.0
6 7412400.0
7 7387200.0
8 7380000.0
9 7366200.0
10 7322100.0
11 7310100.0
12 7294800.0
13 7280700.0
14 7278000.0
15 7255500.0
16 7247100.0
17 7216800.0
18 7199700.0
19 7185000.0
20 7166100.0
21 7158900.0
22 7157100.0
23 7147500.0
24 7142100.0
25 7138800.0
26 7137900.0
27 7132200.0
28 7119300.0
29 7102200.0
30 7088100.0
31 7087500.0
32 7081500.0
33 7080000.0
34 7072500.0
35 7050000.0
36 7035300.0
37 7030500.0
38 7018200.0
39 7016400.0
40 7015500.0
41 7014600.0
42 7002900.0
43 6988800.0
44 6986400.0
45 6980700.0
46 6975000.0
47 6973200.0
48 6972600.0
49 6969900.0
50 6967800.0
51 6963300.0
52 6946500.0
53 6928200.0
54 6927900.0
55 6887700.0
56 6860100.0
57 6856500.0
58 6855900.0
59 6848700.0
60 6845100.0
61 6839400.0
62 6838800.0
63 6831300.0
64 6829800.0
65 6828000.0
66 6810300.0
67 6802200.0
68 6772800.0
69 6762900.0
70 6750000.0
71 6749700.0
72 6744900.0
73 6739200.0
74 6725700.0
75 6709500.0
76 6701400.0
77 6688200.0
78 6680700.0
79 6680100.0
80 6675900.0
81 6665400.0
82 6626400.0
83 6596700.0
84 6594300.0
85 6582600.0
86 6579300.0
87 6572100.0
88 6570300.0
89 6561600.0
90 6535800.0
91 6484200.0
92 6464100.0
93 6442800.0
94 6441600.0
95 6425700.0
96 6390600.0
97 6322800.0
98 6310800.0
99 6204300.0
