time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
53.05 25444.0 25380.0 27492.0 22500.0 24484.0 27748.0 25188.0 25444.0 25188.0 25188.0 
54.05 26468.0 26468.0 28452.0 22884.0 25444.0 28708.0 26212.0 26468.0 26212.0 26212.0 
55.051 27492.0 27492.0 29476.0 23908.0 26468.0 29732.0 27236.0 27492.0 27236.0 27236.0 
56.051 28452.0 28452.0 30500.0 24996.0 27492.0 30692.0 28132.0 28452.0 28196.0 28132.0 
57.052 29412.0 29476.0 31460.0 25956.0 28452.0 31716.0 29220.0 29476.0 29220.0 29220.0 
58.052 30500.0 30436.0 32484.0 26980.0 29476.0 32676.0 30244.0 30436.0 30244.0 30244.0 
59.052 31460.0 31460.0 33444.0 27940.0 30500.0 33700.0 31204.0 31460.0 31204.0 31204.0 
60.053 32484.0 32484.0 34404.0 28964.0 31460.0 34724.0 32228.0 32484.0 32228.0 32228.0 
61.053 33444.0 33444.0 35492.0 29988.0 32484.0 35684.0 33188.0 33444.0 33188.0 33188.0 
62.054 34468.0 34468.0 36452.0 30948.0 33444.0 36708.0 34212.0 34468.0 34212.0 34212.0 
63.054 35492.0 35428.0 37476.0 31908.0 34404.0 37732.0 35236.0 35428.0 35236.0 35236.0 
64.054 36452.0 36452.0 38500.0 32996.0 35492.0 38692.0 36196.0 36452.0 36196.0 36196.0 
65.054 37476.0 37476.0 39460.0 33956.0 36452.0 39716.0 37220.0 37476.0 37220.0 37220.0 
66.055 38500.0 38500.0 40484.0 34980.0 37476.0 40740.0 38180.0 38500.0 38244.0 38116.0 
67.055 39396.0 39460.0 41444.0 35940.0 38500.0 41700.0 39204.0 39460.0 39204.0 39204.0 
68.056 40484.0 40484.0 42468.0 36964.0 39460.0 42724.0 40228.0 40484.0 40228.0 40228.0 
69.057 41444.0 41444.0 43492.0 37924.0 40420.0 43748.0 41188.0 41444.0 41188.0 41188.0 
70.058 42468.0 42468.0 44464.0 38948.0 41444.0 44728.0 42212.0 42468.0 42212.0 42212.0 
71.059 43492.0 43492.0 45000.0 39972.0 42468.0 45000.0 43176.0 43492.0 43172.0 43172.0 
72.06 44460.0 44456.0 45000.0 40996.0 43496.0 45192.0 44204.0 44464.0 44200.0 44196.0 
73.061 45000.0 45000.0 45640.0 41956.0 44464.0 46216.0 45000.0 45000.0 45000.0 45000.0 
74.062 45000.0 45000.0 46728.0 42916.0 45000.0 47240.0 45000.0 45000.0 45000.0 45000.0 
75.063 45384.0 45000.0 47688.0 43944.0 45000.0 48200.0 45640.0 45000.0 45384.0 45000.0 
76.064 46408.0 45000.0 48712.0 45000.0 45000.0 49224.0 46664.0 45000.0 46408.0 45000.0 
77.065 47496.0 45192.0 49736.0 45000.0 45640.0 50248.0 47688.0 46152.0 47496.0 45576.0 
78.067 48456.0 46088.0 50696.0 45640.0 46600.0 51208.0 48648.0 47176.0 48456.0 46664.0 
79.067 49480.0 47240.0 51720.0 46664.0 47688.0 52232.0 49736.0 48200.0 49480.0 47688.0 
80.069 50440.0 48200.0 52680.0 47688.0 48712.0 53192.0 50696.0 49224.0 50440.0 48648.0 
81.07 51464.0 49224.0 53704.0 48712.0 49736.0 54216.0 51720.0 50248.0 51464.0 49736.0 
82.071 52488.0 50248.0 54728.0 49736.0 50696.0 55240.0 52744.0 51208.0 52488.0 50696.0 
83.071 53448.0 51208.0 55688.0 50696.0 51720.0 56136.0 53640.0 52232.0 53448.0 51720.0 
84.071 54472.0 52104.0 56712.0 51720.0 52744.0 57224.0 54728.0 53192.0 54472.0 52744.0 
85.072 55496.0 53192.0 57672.0 52744.0 53704.0 58248.0 55688.0 54216.0 55496.0 53704.0 
86.073 56456.0 54216.0 58696.0 53704.0 54728.0 59208.0 56712.0 55240.0 56456.0 54728.0 
87.073 57480.0 55240.0 59720.0 54728.0 55688.0 60232.0 57736.0 56200.0 57480.0 55688.0 
88.074 58440.0 56200.0 60744.0 55688.0 56712.0 61192.0 58696.0 57224.0 58440.0 56712.0 
89.074 59464.0 57224.0 61704.0 56712.0 57736.0 62216.0 59720.0 58248.0 59464.0 57736.0 
90.074 60488.0 58248.0 62664.0 57736.0 58696.0 63240.0 60744.0 59208.0 60488.0 58696.0 
91.074 61448.0 59208.0 63688.0 58696.0 59720.0 64200.0 61704.0 60232.0 61448.0 59720.0 
92.075 62472.0 60232.0 64712.0 59720.0 60744.0 65224.0 62728.0 61192.0 62472.0 60744.0 
93.076 63496.0 61192.0 65740.0 60616.0 61640.0 66248.0 63688.0 62216.0 63496.0 61704.0 
94.076 64456.0 62216.0 66704.0 61704.0 62728.0 67224.0 64712.0 63240.0 64456.0 62728.0 
95.078 65480.0 63240.0 67500.0 62728.0 63688.0 67500.0 65740.0 64200.0 65480.0 63688.0 
96.079 66444.0 64200.0 67692.0 63688.0 64712.0 67500.0 66704.0 65224.0 66444.0 64712.0 
97.08 67500.0 65224.0 68652.0 64712.0 65740.0 67500.0 67500.0 66188.0 67500.0 65736.0 
98.08 67500.0 66248.0 69676.0 65672.0 66640.0 67500.0 67500.0 67220.0 67500.0 66700.0 
