SortedPeers Time
0 1006
1 1006
2 1005
3 1005
4 1004
5 1004
6 1004
7 1004
8 1004
9 1003
10 1003
11 1002
12 1002
13 1001
14 1001
15 1000
16 1000
17 1000
18 1000
19 999
20 999
21 998
22 998
23 998
24 998
25 997
26 997
27 997
28 997
29 996
30 996
31 996
32 996
33 996
34 996
35 996
36 995
37 995
38 995
39 994
40 993
41 993
42 993
43 993
44 993
45 993
46 992
47 992
48 992
49 992
50 992
51 991
52 991
53 991
54 991
55 990
56 990
57 990
58 990
59 990
60 990
61 990
62 989
63 988
64 988
65 988
66 988
67 988
68 988
69 987
70 987
71 987
72 987
73 987
74 986
75 986
76 986
77 986
78 986
79 985
80 985
81 985
82 984
83 984
84 984
85 984
86 984
87 984
88 984
89 984
90 984
91 983
92 982
93 982
94 980
95 980
96 979
97 978
98 977
99 969
