SortedPeers TotalUploaded
0 7675500.0
1 7540200.0
2 7467300.0
3 7457700.0
4 7434900.0
5 7407300.0
6 7403700.0
7 7399200.0
8 7373100.0
9 7368000.0
10 7336800.0
11 7321800.0
12 7319400.0
13 7309500.0
14 7251600.0
15 7235100.0
16 7202400.0
17 7196700.0
18 7191600.0
19 7189500.0
20 7182900.0
21 7180200.0
22 7172400.0
23 7120800.0
24 7108800.0
25 7089300.0
26 7080900.0
27 7070700.0
28 7070100.0
29 7067700.0
30 7065000.0
31 7059900.0
32 7055700.0
33 7041600.0
34 7040400.0
35 7038300.0
36 7014600.0
37 7006800.0
38 7003500.0
39 6998700.0
40 6998400.0
41 6997200.0
42 6981600.0
43 6978600.0
44 6977400.0
45 6973500.0
46 6972600.0
47 6967800.0
48 6966000.0
49 6956700.0
50 6952200.0
51 6949500.0
52 6925200.0
53 6908100.0
54 6902700.0
55 6902400.0
56 6894600.0
57 6860700.0
58 6853800.0
59 6848400.0
60 6822900.0
61 6813300.0
62 6798900.0
63 6763200.0
64 6755700.0
65 6750000.0
66 6746100.0
67 6735900.0
68 6717300.0
69 6703200.0
70 6699600.0
71 6695400.0
72 6691500.0
73 6686700.0
74 6679200.0
75 6676500.0
76 6671400.0
77 6654900.0
78 6649500.0
79 6647400.0
80 6624900.0
81 6619500.0
82 6614700.0
83 6609600.0
84 6593400.0
85 6590700.0
86 6556800.0
87 6541200.0
88 6528600.0
89 6521100.0
90 6483000.0
91 6480000.0
92 6476700.0
93 6468000.0
94 6447900.0
95 6360300.0
96 6354900.0
97 6351900.0
98 6339900.0
99 6275700.0
