SortedPeers TotalDownloaded
0 7042500.0
1 7036200.0
2 7036200.0
3 7030200.0
4 7028100.0
5 7026900.0
6 7025100.0
7 7021500.0
8 7018800.0
9 7018500.0
10 7017300.0
11 7016700.0
12 7016100.0
13 7014300.0
14 7012200.0
15 7009200.0
16 7007400.0
17 7006500.0
18 7004700.0
19 7004400.0
20 7002300.0
21 7002300.0
22 7000800.0
23 6998700.0
24 6996900.0
25 6996600.0
26 6996300.0
27 6996000.0
28 6994800.0
29 6993600.0
30 6992400.0
31 6991500.0
32 6990900.0
33 6990600.0
34 6990300.0
35 6990300.0
36 6989100.0
37 6988200.0
38 6987900.0
39 6987000.0
40 6985500.0
41 6985200.0
42 6984300.0
43 6984300.0
44 6983100.0
45 6983100.0
46 6982800.0
47 6979800.0
48 6978600.0
49 6978000.0
50 6976200.0
51 6975900.0
52 6975600.0
53 6975000.0
54 6975000.0
55 6974700.0
56 6973800.0
57 6973800.0
58 6973500.0
59 6973500.0
60 6971700.0
61 6971100.0
62 6968700.0
63 6968100.0
64 6967800.0
65 6967800.0
66 6967800.0
67 6967200.0
68 6966600.0
69 6966300.0
70 6966000.0
71 6964800.0
72 6963000.0
73 6962700.0
74 6962700.0
75 6961200.0
76 6961200.0
77 6960900.0
78 6960000.0
79 6959700.0
80 6957600.0
81 6956400.0
82 6950700.0
83 6949200.0
84 6947400.0
85 6944400.0
86 6942300.0
87 6942000.0
88 6941700.0
89 6940200.0
90 6939300.0
91 6936900.0
92 6933900.0
93 6930600.0
94 6929700.0
95 6925200.0
96 6921900.0
97 6911400.0
98 6907500.0
99 6882600.0
