time Optional[EmptySocketAddress@4c74fca1-a86d-4f51-9690-7feb42d99d63] Optional[EmptySocketAddress@2b4f97e7-1776-4055-b68c-2e416e86dd4d] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.003 0.0 0.0 
3.004 0.0 0.0 
4.004 0.0 0.0 
5.005 0.0 0.0 
6.005 0.0 0.0 
7.006 0.0 0.0 
8.007 0.0 0.0 
9.007 0.0 0.0 
10.008 0.0 0.0 
11.01 0.0 0.0 
12.01 0.0 0.0 
13.01 0.0 0.0 
14.011 0.0 0.0 
15.011 0.0 0.0 
16.012 1.0 0.0 
17.013 1.0 0.0 
18.013 1.0 0.0 
19.015 1.0 1.0 
20.015 1.0 1.0 
21.016 1.0 1.0 
