SortedPeers TotalDownloaded
0 7026000.0
1 7021200.0
2 7020600.0
3 7010400.0
4 7010400.0
5 7008300.0
6 7007700.0
7 7005300.0
8 7002900.0
9 7000500.0
10 6998400.0
11 6994200.0
12 6992400.0
13 6989700.0
14 6987600.0
15 6987000.0
16 6986100.0
17 6985800.0
18 6984300.0
19 6983400.0
20 6982500.0
21 6981300.0
22 6980400.0
23 6980400.0
24 6979500.0
25 6975900.0
26 6975300.0
27 6973200.0
28 6970800.0
29 6970800.0
30 6970500.0
31 6969600.0
32 6969000.0
33 6968400.0
34 6968100.0
35 6967500.0
36 6966600.0
37 6966000.0
38 6965400.0
39 6964200.0
40 6963600.0
41 6963300.0
42 6963300.0
43 6962700.0
44 6962100.0
45 6961800.0
46 6961800.0
47 6959700.0
48 6959700.0
49 6958500.0
50 6957600.0
51 6957600.0
52 6957300.0
53 6956700.0
54 6956100.0
55 6956100.0
56 6955200.0
57 6954900.0
58 6954900.0
59 6954000.0
60 6953400.0
61 6953100.0
62 6952800.0
63 6952200.0
64 6951900.0
65 6949800.0
66 6949200.0
67 6948900.0
68 6948300.0
69 6948000.0
70 6947100.0
71 6946800.0
72 6945900.0
73 6943800.0
74 6942600.0
75 6942600.0
76 6941700.0
77 6939600.0
78 6939300.0
79 6938400.0
80 6933900.0
81 6932400.0
82 6932100.0
83 6931500.0
84 6931500.0
85 6930300.0
86 6929700.0
87 6929100.0
88 6928500.0
89 6926400.0
90 6925200.0
91 6922200.0
92 6921600.0
93 6911100.0
94 6909000.0
95 6908700.0
96 6904800.0
97 6895200.0
98 6886200.0
99 6883200.0
