SortedPeers Time
0 1005
1 1005
2 1004
3 1004
4 1003
5 1003
6 1003
7 1002
8 1002
9 1001
10 1001
11 1000
12 1000
13 1000
14 1000
15 1000
16 999
17 998
18 998
19 998
20 998
21 997
22 997
23 997
24 997
25 996
26 996
27 996
28 995
29 995
30 995
31 995
32 995
33 995
34 995
35 995
36 994
37 994
38 994
39 994
40 994
41 993
42 993
43 993
44 993
45 993
46 992
47 992
48 992
49 992
50 992
51 992
52 991
53 991
54 991
55 991
56 991
57 991
58 991
59 990
60 990
61 990
62 990
63 990
64 989
65 989
66 988
67 988
68 988
69 988
70 988
71 988
72 986
73 986
74 986
75 986
76 985
77 984
78 984
79 983
80 983
81 983
82 983
83 983
84 982
85 982
86 981
87 981
88 980
89 980
90 979
91 978
92 976
93 976
94 976
95 975
96 974
97 973
98 972
99 970
