SortedPeers TotalUploaded
0 7608600.0
1 7585200.0
2 7485600.0
3 7462500.0
4 7448400.0
5 7441500.0
6 7365600.0
7 7338600.0
8 7309200.0
9 7300500.0
10 7299600.0
11 7298100.0
12 7289100.0
13 7197000.0
14 7186500.0
15 7179600.0
16 7179300.0
17 7174200.0
18 7171500.0
19 7161300.0
20 7144500.0
21 7131300.0
22 7129500.0
23 7115700.0
24 7098300.0
25 7095300.0
26 7069200.0
27 7064100.0
28 7056300.0
29 7050300.0
30 7043700.0
31 7035900.0
32 7032600.0
33 7028400.0
34 7017300.0
35 7015200.0
36 7006200.0
37 6963000.0
38 6951900.0
39 6945900.0
40 6936600.0
41 6931500.0
42 6930900.0
43 6928200.0
44 6926400.0
45 6924000.0
46 6923100.0
47 6919800.0
48 6913500.0
49 6907800.0
50 6906300.0
51 6887700.0
52 6887400.0
53 6876600.0
54 6872400.0
55 6852300.0
56 6851100.0
57 6845700.0
58 6826500.0
59 6809100.0
60 6809100.0
61 6803700.0
62 6801900.0
63 6756600.0
64 6747900.0
65 6747900.0
66 6747600.0
67 6740400.0
68 6723000.0
69 6714600.0
70 6689100.0
71 6681900.0
72 6675300.0
73 6662100.0
74 6651600.0
75 6651300.0
76 6640800.0
77 6636300.0
78 6636300.0
79 6636000.0
80 6622800.0
81 6609000.0
82 6603600.0
83 6589800.0
84 6561900.0
85 6561300.0
86 6557100.0
87 6553800.0
88 6532500.0
89 6525600.0
90 6521400.0
91 6517200.0
92 6507000.0
93 6502800.0
94 6473700.0
95 6447900.0
96 6432600.0
97 6346500.0
98 6333300.0
99 6315600.0
