time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           288.0                         0.0                           0.0                           0.0                           0.0                           
1.0                           532.0                         0.0                           64.0                          160.0                         128.0                         
2.001                         756.0                         288.0                         346.0                         375.0                         375.0                         
3.003                         1000.0                        471.0                         471.0                         375.0                         596.0                         
4.003                         1000.0                        721.0                         721.0                         660.0                         750.0                         
5.004                         1000.0                        750.0                         750.0                         750.0                         750.0                         
6.005                         1000.0                        750.0                         750.0                         750.0                         750.0                         
7.006                         1000.0                        750.0                         750.0                         750.0                         750.0                         
