time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           64.0                          64.0                          64.0                          96.0                          
1.0                           253.0                         221.0                         221.0                         189.0                         
2.001                         596.0                         535.0                         503.0                         506.0                         
3.003                         753.0                         782.0                         657.0                         721.0                         
4.003                         1000.0                        939.0                         942.0                         971.0                         
5.004                         1000.0                        1000.0                        1000.0                        1000.0                        
6.005                         1000.0                        1000.0                        1000.0                        1000.0                        
7.006                         1000.0                        1000.0                        1000.0                        1000.0                        
