time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           29.0                          31.0                          31.0                          47.0                          
1.0                           189.0                         157.0                         157.0                         93.0                          
2.001                         342.0                         313.0                         281.0                         316.0                         
3.003                         156.0                         246.0                         153.0                         214.0                         
4.003                         247.0                         157.0                         285.0                         250.0                         
5.004                         0.0                           60.0                          57.0                          28.0                          
6.005                         0.0                           0.0                           0.0                           0.0                           
7.006                         0.0                           0.0                           0.0                           0.0                           
