time Optional[local:s-0] 
0.0 0.0 
1.003 2376.0 
2.005 2035.0 
3.006 2069.0 
4.007 1886.0 
5.007 2056.0 
6.008 2013.0 
7.01 1964.0 
8.01 2016.0 
9.011 2053.0 
10.011 1944.0 
11.013 2011.0 
12.014 1966.0 
13.014 2069.0 
14.017 1996.0 
15.018 1886.0 
16.02 2051.0 
17.02 2056.0 
18.02 1944.0 
19.021 2013.0 
20.022 1542.0 
21.023 0.0 
22.023 0.0 
23.023 0.0 
24.024 0.0 
25.024 0.0 
26.025 0.0 
27.026 0.0 
28.027 0.0 
29.027 0.0 
30.028 0.0 
31.029 0.0 
32.03 0.0 
33.03 0.0 
34.031 0.0 
35.031 0.0 
36.032 0.0 
37.033 0.0 
38.033 0.0 
39.033 0.0 
40.034 0.0 
