time Optional[local:s-0] 
0.0 0.0 
1.003 1984.0 
2.005 3928.0 
3.006 5984.0 
4.011 7984.0 
5.011 9968.0 
6.012 11952.0 
7.014 13912.0 
8.015 15896.0 
9.016 17968.0 
10.016 19952.0 
11.018 21952.0 
12.019 23824.0 
13.02 25768.0 
14.02 27968.0 
15.021 29968.0 
16.023 31952.0 
17.024 33968.0 
18.024 35968.0 
19.025 37968.0 
20.026 40000.0 
21.027 40000.0 
22.028 40000.0 
23.029 40000.0 
24.029 40000.0 
25.029 40000.0 
26.031 40000.0 
27.031 40000.0 
28.032 40000.0 
29.033 40000.0 
30.033 40000.0 
31.034 40000.0 
32.035 40000.0 
33.036 40000.0 
34.036 40000.0 
35.036 40000.0 
36.037 40000.0 
37.038 40000.0 
38.039 40000.0 
39.041 40000.0 
40.041 40000.0 
