time mean min max stdev confval
73 51912.0 50632.0 53764.0 1239.6773773849388 646.8336725928853
74 52770.4 50632.0 55240.0 1378.5702093916807 719.3045930619378
75 53981.2 52680.0 56204.0 1151.169530907107 600.6524189579193
76 54794.4 53132.0 57228.0 1172.6561682304362 611.8636266358704
77 56273.2 54156.0 58252.0 1436.6294504073685 749.5985007989276
78 57330.4 54156.0 59276.0 1554.138503766279 810.9118827591564
79 58029.2 55692.0 59276.0 1200.0726644666147 626.1688912745506
80 59137.6 56204.0 60752.0 1420.1511030716258 741.0004977056358
81 60405.6 57740.0 62288.0 1504.047516979877 784.7756173582356
82 61520.0 58764.0 63764.0 1415.940990609739 738.8037628491073
83 63008.0 60240.0 65180.0 1301.7594930622852 679.2266190307914
84 63848.4 61264.0 66144.0 1361.4194553234993 710.3557443985372
85 64938.8 62740.0 66144.0 929.6384960474331 485.0628829337491
86 66198.0 64728.0 67228.0 700.9384185980011 365.7327138772248
87 67116.8 65180.0 68132.0 948.7054103121557 495.01153764331593
88 68104.8 65692.0 69216.0 1169.3444317223218 610.1356426238348
89 68918.0 66716.0 70180.0 970.8099711066013 506.545162843354
90 69412.0 67680.0 70752.0 925.9824812357713 483.15526282966215
91 70406.0 68704.0 72680.0 1107.7348258696413 577.9892403842825
92 70882.0 68704.0 73584.0 1303.2693931459876 680.014448375915
93 72062.8 70692.0 73584.0 1102.577263606602 575.298149136602
94 72870.0 71596.0 75120.0 1189.1393713288803 620.4641633486981
95 74023.6 72108.0 75120.0 985.5244740182198 514.2228345766065
96 75279.6 74608.0 77108.0 805.0230086428861 420.0415355652342
97 76252.4 74608.0 78132.0 1132.167949849609 590.7378535357285
98 77150.0 75632.0 79156.0 1184.644344190366 618.1187669048724
99 78092.8 76144.0 80632.0 1441.9379552070423 752.3683502115168
100 79098.8 77168.0 81656.0 1476.1138769680942 770.200519605122
101 80430.0 78644.0 82228.0 1455.9978632462953 759.7044701724479
102 81294.4 79668.0 83252.0 1298.5889093764645 677.5722851474962
103 82716.0 81204.0 84216.0 1131.4447008630652 590.3604797071023
104 83228.0 81204.0 84788.0 1276.5940797467472 666.0959150152474
105 83972.0 81204.0 85692.0 1495.9096823597934 780.5294920757318
106 85399.6 82228.0 87740.0 1761.9327266764 919.3338825475757
107 86399.6 84276.0 88824.0 1660.1027545171883 866.2014659419597
108 87450.8 85240.0 89788.0 1370.7354716842099 715.2166164177115
109 88574.4 85692.0 90240.0 1257.9916268931734 656.389605036521
110 89556.4 86656.0 91204.0 1384.7787789631477 722.5440745034173
111 90460.0 87168.0 91716.0 1463.2967345461184 763.5128446856672
112 91345.6 88132.0 93132.0 1411.9253363955036 736.708491603022
113 92565.6 89608.0 94156.0 1348.280485161254 703.5001475479589
114 93439.2 91144.0 95240.0 1306.5466611559564 681.7244475592757
115 94267.6 91656.0 96144.0 1344.300826121561 701.4236577133679
116 94948.4 92168.0 97168.0 1368.2929510890567 713.9421682461401
117 95424.4 93132.0 97620.0 1270.5798501296783 662.957835461653
118 95924.4 93644.0 98072.0 1208.4847445366358 630.5581111999115
119 96367.2 94608.0 98072.0 1051.7283975543412 548.7664406648788
120 96554.0 95060.0 98072.0 1023.2449473230846 533.9044652369935
121 96945.6 96024.0 98072.0 742.4361102329128 387.3852057061549
122 97343.2 96024.0 98584.0 796.2239774223219 415.45041388834835
123 97792.0 96536.0 98584.0 673.9812064639983 351.6670925747815
124 97888.4 96536.0 99548.0 846.6665616797835 441.7701343459062
125 98195.6 97048.0 99548.0 779.2063198466045 406.57101175563406
126 98195.6 97048.0 99548.0 779.2063198466045 406.57101175563406
127 98343.2 97048.0 99548.0 817.29483324223 426.44467683393583
128 98804.0 98072.0 99548.0 535.0837940609551 279.19378216572085
129 98855.2 98072.0 99548.0 536.1883582805166 279.770117060418
130 99189.6 98524.0 100000.0 465.0264508605935 242.63955489573414
131 99388.4 99036.0 100000.0 333.0262585576232 173.76504711822798
132 99478.8 99036.0 100000.0 423.42539681349615 220.93313106005624
133 99864.4 99548.0 100000.0 218.33674297592086 113.92283177660215
134 100000.0 100000.0 100000.0 0.0 0.0
135 100000.0 100000.0 100000.0 0.0 0.0
136 100000.0 100000.0 100000.0 0.0 0.0
