time Optional[local:s-0] 
0.0 0.0 
1.003 2440.0 
2.005 4384.0 
3.007 6440.0 
4.007 8496.0 
5.008 10496.0 
6.009 12456.0 
7.009 14496.0 
8.01 16496.0 
9.01 17912.0 
10.011 19912.0 
11.012 21968.0 
12.013 23952.0 
13.014 25896.0 
14.015 27968.0 
15.015 29896.0 
16.016 31968.0 
17.017 33952.0 
18.018 35824.0 
19.019 37968.0 
20.019 40000.0 
21.021 40000.0 
22.021 40000.0 
23.022 40000.0 
24.023 40000.0 
25.023 40000.0 
26.024 40000.0 
27.024 40000.0 
28.024 40000.0 
29.025 40000.0 
30.026 40000.0 
31.026 40000.0 
32.026 40000.0 
33.026 40000.0 
34.027 40000.0 
35.028 40000.0 
36.029 40000.0 
37.029 40000.0 
38.03 40000.0 
39.031 40000.0 
40.031 40000.0 
