time Optional[local:s-0] 
0.0 0.0 
1.003 2432.0 
2.005 1940.0 
3.007 2051.0 
4.007 2056.0 
5.008 1998.0 
6.009 1958.0 
7.009 2040.0 
8.01 1998.0 
9.01 1416.0 
10.011 1998.0 
11.012 2053.0 
12.013 1982.0 
13.014 1942.0 
14.015 2069.0 
15.015 1928.0 
16.016 2069.0 
17.017 1982.0 
18.018 1870.0 
19.019 2141.0 
20.019 2032.0 
21.021 0.0 
22.021 0.0 
23.022 0.0 
24.023 0.0 
25.023 0.0 
26.024 0.0 
27.024 0.0 
28.024 0.0 
29.025 0.0 
30.026 0.0 
31.026 0.0 
32.026 0.0 
33.026 0.0 
34.027 0.0 
35.028 0.0 
36.029 0.0 
37.029 0.0 
38.03 0.0 
39.031 0.0 
40.031 0.0 
