time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           288.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         532.0                         128.0                         128.0                         32.0                          64.0                          
2.001                         788.0                         375.0                         375.0                         285.0                         346.0                         
3.003                         1000.0                        375.0                         471.0                         503.0                         503.0                         
4.004                         1000.0                        663.0                         721.0                         750.0                         750.0                         
5.005                         1000.0                        750.0                         750.0                         750.0                         750.0                         
6.005                         1000.0                        750.0                         750.0                         750.0                         750.0                         
7.006                         1000.0                        750.0                         750.0                         750.0                         750.0                         
