time mean min max stdev
0 37.18181818181818 0.0 409.0 123.31813993230531
1 104.45454545454545 0.0 1149.0 346.43653491985043
2 93.0909090909091 0.0 1024.0 308.74761684762996
3 274.45454545454544 0.0 987.0 386.8357180086564
4 608.0 0.0 1152.0 397.1901307938051
5 865.7272727272727 0.0 1150.0 384.214286800762
6 965.9090909090909 0.0 1138.0 339.23279751387673
7 977.7272727272727 580.0 1280.0 171.96749164251418
8 846.8181818181819 347.0 1278.0 275.596015276643
9 669.1818181818181 0.0 1022.0 337.13345078227354
10 819.6363636363636 0.0 1152.0 411.3021450776236
11 833.0909090909091 0.0 1256.0 438.17472646090727
12 788.4545454545455 0.0 1382.0 524.1723692901722
13 652.7272727272727 0.0 1114.0 476.28207837563883
14 209.0909090909091 0.0 988.0 332.40019691494
15 202.9090909090909 0.0 1140.0 451.5718003917992
16 78.0909090909091 0.0 859.0 258.99824499229896
17 0.0 0.0 0.0 0.0
18 0.0 0.0 0.0 0.0
