time mean min max stdev
0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0
3 0.02 0.0 0.05 0.025819888974716113
4 0.06000000000000001 0.0 0.1 0.03162277660168379
5 0.085 0.05 0.15 0.03374742788552764
6 0.13 0.05 0.25 0.053748384988657
7 0.23500000000000001 0.05 0.4 0.10814085465005557
8 0.45499999999999996 0.4 0.55 0.059860949986893244
9 0.53 0.45 0.6 0.0421637021355784
10 0.5599999999999999 0.5 0.6 0.03944053188733076
11 0.635 0.5 0.75 0.07090682462060882
12 0.75 0.7 0.8 0.04082482904638634
13 0.9 0.85 0.95 0.0408248290463863
14 0.9549999999999998 0.9 1.0 0.028382310609877337
15 0.985 0.95 1.0 0.024152294576982418
16 1.0 1.0 1.0 0.0
17 1.0 1.0 1.0 0.0
18 1.0 1.0 1.0 0.0
