time mean min max stdev
0 47.9 0.0 62.0 25.313369326635808
1 114.3 0.0 127.0 40.16092628413842
2 102.4 0.0 256.0 80.95430810031051
3 301.4 127.0 627.0 160.54573595500236
4 668.8 256.0 1384.0 334.8700577172518
5 952.6 371.0 1510.0 373.361070398199
6 1062.9 499.0 2265.0 499.04340715234605
7 1074.2 603.0 1638.0 292.99328775019177
8 932.8 360.0 1440.0 374.1315276744263
9 736.0 359.0 1370.0 345.6600770828024
10 901.6 372.0 1524.0 367.3143370768724
11 916.4 512.0 1384.0 270.028475864635
12 867.2 499.0 1602.0 317.3336134452545
13 718.2 475.0 975.0 161.85370623566897
14 230.0 0.0 488.0 185.38848100378
15 223.2 0.0 500.0 165.36343811939406
16 85.7 0.0 371.0 154.582628030736
17 0.0 0.0 0.0 0.0
18 0.0 0.0 0.0 0.0
