time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           Optional[local:l-10]          Optional[local:l-11]          Optional[local:l-12]          Optional[local:l-13]          Optional[local:l-14]          Optional[local:l-15]          
0.0                           0.0                           469.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.001                         0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.002                         0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.002                         0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.003                         0.0                           903.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.004                         1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
6.005                         1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
7.006                         1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
8.007                         1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
9.008                         903.0                         0.0                           1926.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
10.008                        0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        1024.0                        
11.009                        0.0                           0.0                           0.0                           1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        
12.01                         0.0                           0.0                           0.0                           1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        
13.011                        0.0                           0.0                           0.0                           1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        
14.012                        0.0                           0.0                           0.0                           903.0                         1022.0                        1926.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           903.0                         903.0                         
15.013                        0.0                           0.0                           0.0                           0.0                           1022.0                        0.0                           1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        0.0                           1022.0                        0.0                           0.0                           0.0                           
16.013                        0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        0.0                           0.0                           0.0                           
17.014                        0.0                           0.0                           0.0                           0.0                           1022.0                        0.0                           1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           0.0                           
18.015                        0.0                           0.0                           0.0                           0.0                           903.0                         0.0                           1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           0.0                           
19.015                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           904.0                         904.0                         904.0                         904.0                         904.0                         1928.0                        904.0                         1024.0                        0.0                           0.0                           
20.016                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        0.0                           0.0                           
21.018                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1021.0                        0.0                           0.0                           
22.018                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           
23.019                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           903.0                         0.0                           0.0                           
24.019                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
25.02                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
