time Optional[local:s-0] 
0.0 0.0 
1.02 1984.0 
2.022 3984.0 
3.022 5984.0 
4.023 7984.0 
5.024 9968.0 
6.024 11896.0 
7.025 13968.0 
8.026 15912.0 
9.027 17912.0 
10.027 19968.0 
11.027 21984.0 
12.036 23968.0 
13.037 25984.0 
14.038 27984.0 
15.038 29984.0 
16.04 31984.0 
17.055 33912.0 
18.056 35968.0 
19.057 37912.0 
20.058 40000.0 
21.059 40000.0 
22.06 40000.0 
23.06 40000.0 
24.061 40000.0 
25.062 40000.0 
26.063 40000.0 
27.063 40000.0 
28.064 40000.0 
29.065 40000.0 
30.065 40000.0 
31.066 40000.0 
32.066 40000.0 
33.067 40000.0 
34.068 40000.0 
35.068 40000.0 
36.068 40000.0 
37.069 40000.0 
38.069 40000.0 
39.07 40000.0 
