SortedPeers Time
0 1016
1 1016
2 1015
3 1015
4 1015
5 1015
6 1014
7 1014
8 1013
9 1013
10 1012
11 1012
12 1012
13 1011
14 1011
15 1011
16 1010
17 1010
18 1010
19 1010
20 1009
21 1009
22 1008
23 1008
24 1006
25 1005
26 1005
27 1004
28 1004
29 1003
30 1003
31 1003
32 1003
33 1002
34 1002
35 1002
36 1002
37 1001
38 1001
39 1000
40 1000
41 997
42 997
43 997
44 997
45 996
46 996
47 996
48 995
49 994
50 993
51 993
52 992
53 991
54 991
55 991
56 990
57 989
58 989
59 989
60 989
61 989
62 988
63 988
64 987
65 987
66 986
67 986
68 985
69 985
70 984
71 984
72 984
73 983
74 983
75 983
76 983
77 982
78 982
79 982
80 982
81 981
82 981
83 981
84 981
85 981
86 980
87 980
88 980
89 980
90 978
91 977
92 977
93 977
94 975
95 974
96 973
97 972
98 968
99 966
