SortedPeers TotalUploaded
0 7639500.0
1 7458900.0
2 7451700.0
3 7424700.0
4 7392000.0
5 7391700.0
6 7371300.0
7 7371000.0
8 7348500.0
9 7323000.0
10 7293300.0
11 7291200.0
12 7285500.0
13 7262100.0
14 7225200.0
15 7210800.0
16 7208100.0
17 7207800.0
18 7204500.0
19 7202400.0
20 7193100.0
21 7179600.0
22 7165500.0
23 7160700.0
24 7155900.0
25 7131300.0
26 7129800.0
27 7106700.0
28 7091400.0
29 7090500.0
30 7076700.0
31 7061100.0
32 7059300.0
33 7056300.0
34 7044300.0
35 7041300.0
36 7041000.0
37 7032600.0
38 7029300.0
39 7016700.0
40 7016400.0
41 7007700.0
42 6980100.0
43 6966000.0
44 6944100.0
45 6942900.0
46 6927600.0
47 6923700.0
48 6910200.0
49 6906600.0
50 6901800.0
51 6901500.0
52 6896400.0
53 6890100.0
54 6885300.0
55 6869700.0
56 6861000.0
57 6845700.0
58 6843600.0
59 6839700.0
60 6818100.0
61 6815100.0
62 6789600.0
63 6784500.0
64 6774600.0
65 6773400.0
66 6772200.0
67 6768300.0
68 6767700.0
69 6762300.0
70 6751800.0
71 6740400.0
72 6733500.0
73 6705900.0
74 6704100.0
75 6699300.0
76 6690900.0
77 6690600.0
78 6666300.0
79 6660600.0
80 6636300.0
81 6634800.0
82 6618900.0
83 6601200.0
84 6594000.0
85 6578700.0
86 6567900.0
87 6563100.0
88 6544800.0
89 6526200.0
90 6524700.0
91 6483900.0
92 6461700.0
93 6452400.0
94 6384600.0
95 6376500.0
96 6362100.0
97 6337500.0
98 6333900.0
99 6315600.0
