Time Mean Min Max StDev ConfidenceInterval
0 42.90909090909091 0.0 472.0 142.31335464070443 84.10181818181819
1 81.36363636363636 0.0 895.0 269.85265339709844 159.47272727272727
2 103.45454545454545 0.0 1138.0 343.119910129495 202.77090909090907
3 310.45454545454544 0.0 987.0 391.29563341196734 231.2409422126019
4 553.1818181818181 0.0 1150.0 529.5563838123035 312.94782433345233
5 819.2727272727273 0.0 1150.0 426.23751381338803 251.89027396274113
6 1030.1818181818182 767.0 1150.0 104.92742080297046 62.008143149585635
7 922.2727272727273 578.0 1125.0 149.26626605438412 88.21072625319272
8 929.0909090909091 0.0 1232.0 333.1550553557471 196.88205623865355
9 848.5454545454545 0.0 1150.0 339.96981149401006 200.90931975963932
10 789.4545454545455 0.0 1150.0 356.41222303292676 210.62616403759074
11 890.0 0.0 1278.0 371.17704670413013 219.35161723920467
12 865.6363636363636 0.0 1256.0 402.3996204588848 237.80297921939462
13 842.4545454545455 0.0 1150.0 323.4255288737621 191.1322735197446
14 847.5454545454545 499.0 1150.0 229.84488840797118 135.82964904249832
15 826.5454545454545 0.0 1268.0 411.7796409820096 243.3462171155796
16 817.0909090909091 0.0 1266.0 422.12473382768144 249.45977630879304
17 877.4545454545455 256.0 1280.0 302.1643141194419 178.56769852179846
18 911.1818181818181 0.0 1150.0 314.11266073872866 185.62872014893665
19 962.4545454545455 347.0 1150.0 238.71043698856724 141.06885344949012
20 936.4545454545455 511.0 1138.0 160.3535865743973 94.76291397199017
21 1052.7272727272727 884.0 1280.0 106.56555814060273 62.97622045247983
22 1012.7272727272727 860.0 1140.0 92.08375634072591 54.418022488604336
23 833.7272727272727 0.0 1114.0 348.8544369530337 206.1597978813506
24 724.0 0.0 1244.0 456.96389354083544 270.04840401137517
25 761.0 0.0 1150.0 415.1378084443767 245.33076726589496
26 699.6363636363636 0.0 1138.0 437.05658048524396 258.2839337877843
27 784.3636363636364 0.0 1244.0 373.84683300177164 220.92936011762552
28 879.1818181818181 0.0 1150.0 438.6681703022954 259.23632250857247
29 795.7272727272727 0.0 1126.0 332.7654101342539 196.65179062755772
30 955.6363636363636 384.0 1152.0 234.59551262855507 138.63708855130892
31 940.7272727272727 384.0 1280.0 223.36207865664704 131.9985533003617
32 969.2727272727273 767.0 1150.0 113.93427132262786 67.3308516663476
33 1046.5454545454545 964.0 1140.0 71.62731830295427 42.32904013804547
34 939.5454545454545 847.0 1010.0 69.64964269307293 41.16030853878849
35 797.9090909090909 0.0 1090.0 402.63418994055996 237.94160092463554
36 805.4545454545455 0.0 1152.0 425.6393693342672 251.5367931642842
37 669.8181818181819 0.0 1138.0 534.1304743565598 315.6509391062819
38 867.7272727272727 0.0 1024.0 308.9508345705157 182.5782758179657
39 948.7272727272727 639.0 1102.0 129.5021937336128 76.5309058944476
40 1029.8181818181818 768.0 1280.0 158.61766495685038 93.73704985245335
41 972.7272727272727 256.0 1268.0 265.9974025847211 157.19441963472343
42 1005.9090909090909 871.0 1150.0 97.86465607710942 57.834315919281345
43 940.3636363636364 359.0 1126.0 209.46420826827324 123.7854367487322
44 880.3636363636364 0.0 1208.0 334.3074252023944 197.563063299204
45 806.5454545454545 0.0 1140.0 417.18397947101556 246.53997706975176
46 809.6363636363636 0.0 1022.0 348.0598433394099 205.69022306323083
47 944.7272727272727 627.0 1150.0 172.18716032799364 101.75610916985983
48 1073.5454545454545 987.0 1406.0 125.4690110237294 74.14744722454951
49 991.2727272727273 872.0 1140.0 74.22814952441009 43.86603317050338
50 894.0909090909091 0.0 1090.0 302.81659615861696 178.95317257376263
51 920.7272727272727 0.0 1152.0 340.3189947414311 201.11567387208984
52 722.9090909090909 0.0 1104.0 416.49620755667263 246.1335298418253
53 786.2727272727273 0.0 1010.0 344.63026300924037 203.66347060492456
54 385.45454545454544 0.0 1113.0 378.59116831652676 223.73308312058953
55 353.09090909090907 0.0 1268.0 523.3158615110867 309.25991132443386
56 141.45454545454547 0.0 604.0 249.95534146577606 147.71416733589072
57 0.0 0.0 0.0 0.0 0.0
58 0.0 0.0 0.0 0.0 0.0
