SortedPeers TotalUploaded
0 7541700.0
1 7461600.0
2 7437000.0
3 7421700.0
4 7415100.0
5 7390800.0
6 7376700.0
7 7375500.0
8 7367400.0
9 7335600.0
10 7327500.0
11 7309500.0
12 7295100.0
13 7291200.0
14 7279800.0
15 7266000.0
16 7254600.0
17 7247100.0
18 7226700.0
19 7218300.0
20 7204500.0
21 7197600.0
22 7185300.0
23 7164300.0
24 7141800.0
25 7113000.0
26 7093500.0
27 7086300.0
28 7072800.0
29 7064700.0
30 7063200.0
31 7059900.0
32 7053300.0
33 7048200.0
34 7046100.0
35 7017300.0
36 7013100.0
37 7009500.0
38 7009200.0
39 7002600.0
40 6982800.0
41 6979200.0
42 6976200.0
43 6975000.0
44 6972600.0
45 6971400.0
46 6970200.0
47 6947700.0
48 6947100.0
49 6945900.0
50 6922500.0
51 6917700.0
52 6904200.0
53 6898800.0
54 6882600.0
55 6877200.0
56 6875400.0
57 6864000.0
58 6842400.0
59 6826800.0
60 6825900.0
61 6818100.0
62 6808200.0
63 6798900.0
64 6798900.0
65 6790200.0
66 6754800.0
67 6747900.0
68 6741300.0
69 6739200.0
70 6730200.0
71 6729000.0
72 6718500.0
73 6717300.0
74 6706800.0
75 6704700.0
76 6697800.0
77 6691200.0
78 6687900.0
79 6673800.0
80 6672600.0
81 6650700.0
82 6640800.0
83 6629700.0
84 6623400.0
85 6597000.0
86 6596400.0
87 6596400.0
88 6563700.0
89 6539400.0
90 6538500.0
91 6530400.0
92 6519900.0
93 6518400.0
94 6501900.0
95 6448500.0
96 6416400.0
97 6371700.0
98 6263400.0
99 6207000.0
