time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
62.052 1140.0 1146.0 1378.0 1250.0 1198.0 1262.0 686.0 686.0 820.0 686.0 
63.053 789.0 847.0 1184.0 737.0 1044.0 725.0 1492.0 877.0 1358.0 1242.0 
64.054 889.0 1458.0 999.0 1138.0 941.0 953.0 691.0 935.0 1010.0 755.0 
65.054 1302.0 976.0 866.0 1174.0 744.0 1302.0 680.0 1500.0 1110.0 1430.0 
66.054 692.0 948.0 1384.0 756.0 1070.0 884.0 884.0 936.0 948.0 814.0 
67.055 1062.0 813.0 743.0 883.0 1010.0 999.0 1446.0 941.0 627.0 877.0 
68.055 808.0 930.0 436.0 988.0 796.0 744.0 976.0 1174.0 1110.0 1116.0 
69.055 942.0 942.0 1076.0 756.0 1192.0 756.0 640.0 1076.0 768.0 1006.0 
70.056 1004.0 1138.0 1172.0 1120.0 999.0 929.0 1300.0 499.0 935.0 999.0 
71.056 866.0 1052.0 1064.0 692.0 1064.0 1070.0 1070.0 1256.0 1244.0 1058.0 
72.057 1126.0 749.0 813.0 1248.0 987.0 813.0 865.0 737.0 627.0 819.0 
73.058 871.0 993.0 1190.0 935.0 569.0 1056.0 819.0 1376.0 1120.0 615.0 
74.058 1140.0 1256.0 936.0 1256.0 1146.0 1384.0 1198.0 820.0 1134.0 1082.0 
75.06 1055.0 1119.0 1247.0 1049.0 1095.0 608.0 730.0 1049.0 1119.0 1043.0 
76.061 993.0 941.0 877.0 941.0 953.0 1440.0 1068.0 1190.0 1178.0 1260.0 
77.061 1000.0 808.0 924.0 1180.0 1232.0 570.0 1436.0 808.0 756.0 1000.0 
78.062 1428.0 1062.0 1202.0 621.0 761.0 1178.0 1004.0 1254.0 1126.0 737.0 
79.063 941.0 935.0 981.0 1446.0 1114.0 1248.0 871.0 743.0 807.0 941.0 
80.064 871.0 685.0 511.0 615.0 877.0 493.0 1312.0 1004.0 935.0 871.0 
81.065 1004.0 1202.0 1376.0 953.0 1004.0 1132.0 865.0 1184.0 1248.0 1248.0 
82.065 1250.0 1290.0 866.0 1052.0 1122.0 1186.0 948.0 1180.0 686.0 936.0 
83.067 800.0 690.0 1125.0 1177.0 678.0 1055.0 1049.0 1003.0 1497.0 1189.0 
84.067 1198.0 1436.0 820.0 826.0 1134.0 1064.0 1262.0 692.0 942.0 1000.0 
85.068 993.0 749.0 987.0 1172.0 1190.0 749.0 1108.0 871.0 813.0 941.0 
86.069 819.0 889.0 941.0 819.0 1172.0 1056.0 761.0 1254.0 1236.0 1120.0 
87.07 923.0 1038.0 1010.0 1370.0 691.0 819.0 993.0 981.0 691.0 749.0 
88.07 1326.0 762.0 872.0 1192.0 1192.0 942.0 692.0 634.0 1326.0 1064.0 
89.072 800.0 998.0 1554.0 934.0 806.0 1363.0 1195.0 876.0 1171.0 1433.0 
90.073 877.0 1370.0 1114.0 1056.0 1062.0 1062.0 981.0 929.0 749.0 615.0 
91.075 1369.0 626.0 754.0 1003.0 1061.0 1125.0 1009.0 1508.0 1317.0 1259.0 
92.075 750.0 1116.0 1302.0 924.0 686.0 1122.0 1232.0 808.0 860.0 1116.0 
93.075 936.0 884.0 890.0 1076.0 1186.0 1006.0 634.0 872.0 1262.0 564.0 
94.075 820.0 1372.0 930.0 744.0 1122.0 866.0 942.0 942.0 744.0 1064.0 
95.076 1370.0 999.0 505.0 1126.0 755.0 633.0 935.0 813.0 877.0 935.0 
