time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
46.039                        46204.0                       23524.0                       20180.0                       20632.0                       24548.0                       22168.0                       14848.0                       22500.0                       17348.0                       22500.0                       23012.0                       
47.039                        46204.0                       24036.0                       21084.0                       21596.0                       26596.0                       22680.0                       14848.0                       22500.0                       19336.0                       22500.0                       24036.0                       
48.041                        47680.0                       24548.0                       21596.0                       22500.0                       27620.0                       24608.0                       14848.0                       22500.0                       20240.0                       24036.0                       24548.0                       
49.042                        47680.0                       27108.0                       23072.0                       22500.0                       28132.0                       25120.0                       15872.0                       22500.0                       21144.0                       26084.0                       25572.0                       
50.043                        47680.0                       27108.0                       24548.0                       22500.0                       28644.0                       26084.0                       18312.0                       22500.0                       22500.0                       26084.0                       26596.0                       
51.044                        49156.0                       28644.0                       24548.0                       22500.0                       30180.0                       27620.0                       20240.0                       22500.0                       22500.0                       26084.0                       27108.0                       
52.044                        50180.0                       28644.0                       25572.0                       22500.0                       30180.0                       27620.0                       20240.0                       23012.0                       22500.0                       29156.0                       29668.0                       
53.045                        52740.0                       29156.0                       26596.0                       22500.0                       31716.0                       28644.0                       22500.0                       23524.0                       22500.0                       29668.0                       30692.0                       
54.045                        52740.0                       30692.0                       28132.0                       22500.0                       32228.0                       29668.0                       22500.0                       25572.0                       22500.0                       29668.0                       31204.0                       
55.045                        54216.0                       30692.0                       28644.0                       22500.0                       34276.0                       30180.0                       23012.0                       27620.0                       22500.0                       30692.0                       32228.0                       
56.046                        54728.0                       33252.0                       28644.0                       22500.0                       34788.0                       30692.0                       24036.0                       27620.0                       22500.0                       33252.0                       33764.0                       
57.046                        56204.0                       34276.0                       31204.0                       22500.0                       35812.0                       33252.0                       24548.0                       27620.0                       22500.0                       34276.0                       34276.0                       
58.047                        57168.0                       34276.0                       32228.0                       22500.0                       36836.0                       34788.0                       24548.0                       28644.0                       22500.0                       34788.0                       36264.0                       
59.048                        58644.0                       34788.0                       32228.0                       23012.0                       36836.0                       34788.0                       26084.0                       29156.0                       23524.0                       34788.0                       37288.0                       
60.049                        59668.0                       37348.0                       33252.0                       24036.0                       38884.0                       35752.0                       26084.0                       32740.0                       23524.0                       35812.0                       37800.0                       
61.049                        60692.0                       38312.0                       34276.0                       24548.0                       39908.0                       36264.0                       28132.0                       32740.0                       24036.0                       38824.0                       38824.0                       
62.05                         60692.0                       39788.0                       35752.0                       27108.0                       41264.0                       37228.0                       29156.0                       33252.0                       26596.0                       39336.0                       39788.0                       
63.05                         62228.0                       40240.0                       36264.0                       27620.0                       42168.0                       39788.0                       29668.0                       33252.0                       27108.0                       40300.0                       39788.0                       
64.051                        62740.0                       41656.0                       37228.0                       28644.0                       43644.0                       40240.0                       30180.0                       35300.0                       27620.0                       40752.0                       42680.0                       
65.051                        64216.0                       42108.0                       38764.0                       28644.0                       45000.0                       40752.0                       32228.0                       36324.0                       28644.0                       41716.0                       43132.0                       
66.052                        65240.0                       43644.0                       39788.0                       29668.0                       45000.0                       42680.0                       33764.0                       36836.0                       31204.0                       42680.0                       45000.0                       
67.052                        66264.0                       44156.0                       39788.0                       32228.0                       45000.0                       44096.0                       34788.0                       37800.0                       32228.0                       43704.0                       45000.0                       
68.053                        67288.0                       45180.0                       41264.0                       32740.0                       45000.0                       45000.0                       34788.0                       39788.0                       32228.0                       45120.0                       45000.0                       
69.054                        68252.0                       46084.0                       42740.0                       33252.0                       45000.0                       45000.0                       34788.0                       40752.0                       32740.0                       46536.0                       45000.0                       
70.054                        69788.0                       47620.0                       43644.0                       34276.0                       45000.0                       45000.0                       37348.0                       42288.0                       33252.0                       46536.0                       45000.0                       
71.056                        71264.0                       48644.0                       45000.0                       34788.0                       45000.0                       45000.0                       37860.0                       42288.0                       36836.0                       48072.0                       45000.0                       
72.057                        71716.0                       50120.0                       45000.0                       35812.0                       45000.0                       45000.0                       39788.0                       43764.0                       37348.0                       48072.0                       45000.0                       
73.057                        72228.0                       50632.0                       45000.0                       36776.0                       45000.0                       45512.0                       40240.0                       44668.0                       37348.0                       48072.0                       45000.0                       
74.058                        73704.0                       50632.0                       45000.0                       38824.0                       45000.0                       46024.0                       42168.0                       45120.0                       38312.0                       50120.0                       45512.0                       
75.059                        75240.0                       52680.0                       45000.0                       40240.0                       45000.0                       46024.0                       43132.0                       46596.0                       40300.0                       51144.0                       49096.0                       
76.06                         75752.0                       53704.0                       45000.0                       40692.0                       45000.0                       47560.0                       44096.0                       46596.0                       41264.0                       53192.0                       49608.0                       
77.061                        76776.0                       55240.0                       45000.0                       41716.0                       45000.0                       48072.0                       45000.0                       47108.0                       42680.0                       53192.0                       49608.0                       
78.062                        77740.0                       55240.0                       45000.0                       43644.0                       45000.0                       50632.0                       45000.0                       50120.0                       43584.0                       54216.0                       50120.0                       
79.063                        78644.0                       55240.0                       45000.0                       44096.0                       45000.0                       52168.0                       45000.0                       50120.0                       44548.0                       55240.0                       50120.0                       
80.063                        80572.0                       56264.0                       46024.0                       44096.0                       45000.0                       52680.0                       45000.0                       50632.0                       44548.0                       55752.0                       54216.0                       
