time mean min max stdev
0 30.8 0.0 63.0 32.48521031006093
1 114.6 0.0 255.0 111.61959206758164
2 115.2 0.0 256.0 94.4466927836956
3 202.4 0.0 384.0 108.37301837224572
4 771.3 383.0 1022.0 209.45434400418202
5 1101.1 383.0 1522.0 400.8938485157608
6 1064.4 512.0 1396.0 279.4690203463227
7 969.6 615.0 1242.0 183.69975503522048
8 865.6 360.0 1592.0 379.5632577933047
9 895.1 255.0 1242.0 302.9534067586411
10 1064.1 639.0 1662.0 362.95835390119714
11 1036.4 744.0 1408.0 235.36600339801745
12 962.2 615.0 1254.0 245.3309782495657
13 671.2 464.0 860.0 152.56969263622153
14 93.4 0.0 243.0 93.13932216488014
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
