time mean min max stdev
0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0
3 0.01 0.0 0.05 0.021081851067789197
4 0.045 0.0 0.1 0.028382310609877337
5 0.09 0.05 0.15 0.04594682917363407
6 0.125 0.05 0.2 0.05892556509887896
7 0.24500000000000002 0.15 0.35 0.06433419688539593
8 0.43 0.35 0.5 0.04216370213557839
9 0.535 0.5 0.55 0.024152294576982418
10 0.575 0.55 0.65 0.04249182927993986
11 0.63 0.55 0.7 0.05868938953886334
12 0.775 0.75 0.8 0.026352313834736518
13 0.9650000000000001 0.9 1.0 0.033747427885527655
14 1.0 1.0 1.0 0.0
15 1.0 1.0 1.0 0.0
16 1.0 1.0 1.0 0.0
