time mean min max stdev
0 64.0 0.0 128.0 67.46192341692543
1 179.2 128.0 256.0 66.09891577527324
2 294.4 256.0 384.0 61.82987411707494
3 496.8 384.0 640.0 94.22054505844844
4 1269.2 896.0 1524.0 197.66683530065882
5 2372.0 1652.0 2908.0 442.18045587243626
6 3436.4 3036.0 4048.0 395.06488918488657
7 4407.2 3932.0 5036.0 389.2456522271993
8 5272.8 4640.0 5652.0 354.5603850780099
9 6169.2 5756.0 6780.0 365.80529125630636
10 7234.8 6780.0 7536.0 258.0614913801231
11 8271.2 7804.0 8664.0 238.45279057568885
12 9234.8 8896.0 9536.0 202.87752189163018
13 9906.0 9756.0 10000.0 93.58537397597031
14 10000.0 10000.0 10000.0 0.0
15 10000.0 10000.0 10000.0 0.0
16 10000.0 10000.0 10000.0 0.0
