time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           288.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         535.0                         96.0                          64.0                          0.0                           96.0                          
2.001                         785.0                         346.0                         314.0                         64.0                          346.0                         
3.003                         1000.0                        596.0                         471.0                         346.0                         375.0                         
4.003                         1000.0                        750.0                         721.0                         596.0                         660.0                         
5.003                         1000.0                        750.0                         750.0                         750.0                         750.0                         
6.005                         1000.0                        750.0                         750.0                         750.0                         750.0                         
7.006                         1000.0                        750.0                         750.0                         750.0                         750.0                         
