time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           43.0                          29.0                          29.0                          29.0                          
1.001                         220.0                         124.0                         63.0                          92.0                          
2.001                         215.0                         256.0                         404.0                         189.0                         
3.003                         188.0                         179.0                         217.0                         345.0                         
4.003                         186.0                         346.0                         189.0                         218.0                         
5.003                         93.0                          29.0                          61.0                          90.0                          
6.005                         0.0                           0.0                           0.0                           0.0                           
7.006                         0.0                           0.0                           0.0                           0.0                           
