time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           107.0                         0.0                           0.0                           0.0                           0.0                           
1.002                         246.0                         95.0                          63.0                          0.0                           95.0                          
2.002                         250.0                         250.0                         250.0                         64.0                          250.0                         
3.003                         214.0                         249.0                         156.0                         281.0                         28.0                          
4.004                         0.0                           153.0                         249.0                         249.0                         285.0                         
5.004                         0.0                           0.0                           29.0                          154.0                         90.0                          
6.006                         0.0                           0.0                           0.0                           0.0                           0.0                           
7.007                         0.0                           0.0                           0.0                           0.0                           0.0                           
