SortedPeers Time
0 1004
1 1003
2 1003
3 1003
4 1002
5 1002
6 1001
7 1001
8 1001
9 1001
10 1000
11 1000
12 1000
13 1000
14 1000
15 1000
16 1000
17 999
18 999
19 999
20 999
21 999
22 998
23 998
24 998
25 998
26 997
27 996
28 996
29 996
30 996
31 996
32 996
33 996
34 996
35 996
36 996
37 995
38 995
39 995
40 995
41 995
42 995
43 995
44 995
45 994
46 994
47 994
48 994
49 994
50 994
51 993
52 993
53 993
54 993
55 993
56 993
57 993
58 992
59 992
60 992
61 992
62 992
63 991
64 991
65 991
66 990
67 990
68 990
69 990
70 989
71 989
72 989
73 989
74 989
75 989
76 988
77 988
78 988
79 988
80 986
81 985
82 985
83 985
84 985
85 985
86 984
87 983
88 983
89 983
90 982
91 982
92 982
93 981
94 980
95 980
96 980
97 978
98 977
99 973
