SortedPeers TotalDownloaded
0 7033500.0
1 7029600.0
2 7022100.0
3 7020900.0
4 7019100.0
5 7014900.0
6 7013700.0
7 7012500.0
8 7012200.0
9 7010700.0
10 7008300.0
11 7005300.0
12 7005000.0
13 7004400.0
14 7003200.0
15 7002900.0
16 7001700.0
17 7001400.0
18 6997200.0
19 6996300.0
20 6993600.0
21 6992400.0
22 6992100.0
23 6991500.0
24 6991500.0
25 6990600.0
26 6989700.0
27 6989100.0
28 6988500.0
29 6987300.0
30 6987300.0
31 6987300.0
32 6985200.0
33 6983700.0
34 6982200.0
35 6981900.0
36 6981900.0
37 6981600.0
38 6981000.0
39 6980700.0
40 6979200.0
41 6978300.0
42 6978000.0
43 6977700.0
44 6977700.0
45 6977400.0
46 6976500.0
47 6976500.0
48 6975300.0
49 6974100.0
50 6974100.0
51 6970800.0
52 6970500.0
53 6970200.0
54 6969900.0
55 6969300.0
56 6969000.0
57 6968400.0
58 6967800.0
59 6967500.0
60 6967500.0
61 6967200.0
62 6966600.0
63 6966600.0
64 6966000.0
65 6965700.0
66 6965400.0
67 6965400.0
68 6965400.0
69 6965100.0
70 6963600.0
71 6963600.0
72 6962400.0
73 6961200.0
74 6960600.0
75 6960000.0
76 6959100.0
77 6958200.0
78 6957600.0
79 6956700.0
80 6955800.0
81 6953700.0
82 6953400.0
83 6951000.0
84 6949800.0
85 6949800.0
86 6948900.0
87 6945000.0
88 6943500.0
89 6942600.0
90 6942000.0
91 6938400.0
92 6931800.0
93 6930300.0
94 6929100.0
95 6927600.0
96 6926400.0
97 6920400.0
98 6917100.0
99 6901200.0
