Time                          Total bandwidth               
17.353                        1099000.0                     
17.454                        1099000.0                     
17.554                        1099000.0                     
17.656                        1099000.0                     
17.757                        1099000.0                     
17.857                        1000000.0                     
17.958                        1000000.0                     
18.06                         1000000.0                     
18.16                         1000000.0                     
18.26                         1000000.0                     
18.36                         1000000.0                     
18.461                        1000000.0                     
18.563                        1000000.0                     
18.663                        1000000.0                     
18.765                        1000000.0                     
18.865                        999000.0                      
18.965                        999000.0                      
19.066                        999000.0                      
19.167                        999000.0                      
19.269                        999000.0                      
19.369                        999000.0                      
19.47                         999000.0                      
19.571                        999000.0                      
19.672                        999000.0                      
19.773                        999000.0                      
19.873                        899000.0                      
19.974                        899000.0                      
20.075                        899000.0                      
20.177                        899000.0                      
20.277                        899000.0                      
20.379                        899000.0                      
20.479                        899000.0                      
20.58                         899000.0                      
20.68                         899000.0                      
20.78                         899000.0                      
20.881                        1099000.0                     
20.983                        1099000.0                     
21.084                        1099000.0                     
21.185                        1099000.0                     
21.285                        1099000.0                     
21.386                        1099000.0                     
21.487                        1099000.0                     
21.587                        1099000.0                     
21.688                        1099000.0                     
21.789                        1099000.0                     
21.891                        1000000.0                     
21.992                        1000000.0                     
22.093                        1000000.0                     
22.194                        1000000.0                     
22.294                        1000000.0                     
22.396                        1000000.0                     
22.497                        1000000.0                     
22.599                        1000000.0                     
22.7                          1000000.0                     
22.8                          900000.0                      
22.902                        900000.0                      
23.002                        900000.0                      
23.103                        900000.0                      
23.204                        900000.0                      
23.304                        900000.0                      
23.406                        900000.0                      
23.507                        900000.0                      
23.608                        900000.0                      
23.709                        900000.0                      
23.809                        998000.0                      
23.91                         998000.0                      
24.011                        998000.0                      
24.112                        998000.0                      
24.213                        998000.0                      
24.313                        998000.0                      
24.414                        998000.0                      
24.515                        998000.0                      
24.616                        998000.0                      
24.717                        998000.0                      
24.817                        1000000.0                     
24.919                        1000000.0                     
25.02                         1000000.0                     
25.121                        1000000.0                     
25.223                        1000000.0                     
25.323                        1000000.0                     
25.423                        1000000.0                     
25.524                        1000000.0                     
25.624                        1000000.0                     
25.725                        1000000.0                     
25.826                        1000000.0                     
25.927                        1000000.0                     
26.027                        1000000.0                     
26.127                        1000000.0                     
26.228                        1000000.0                     
26.329                        1000000.0                     
26.429                        1000000.0                     
26.53                         1000000.0                     
26.63                         1000000.0                     
26.731                        1000000.0                     
26.833                        999000.0                      
26.933                        999000.0                      
27.035                        999000.0                      
27.135                        999000.0                      
27.236                        999000.0                      
27.336                        999000.0                      
27.437                        999000.0                      
27.539                        999000.0                      
27.641                        999000.0                      
27.742                        999000.0                      
27.842                        1000000.0                     
27.944                        1000000.0                     
28.045                        1000000.0                     
28.146                        1000000.0                     
28.247                        1000000.0                     
28.349                        1000000.0                     
28.45                         1000000.0                     
28.55                         1000000.0                     
28.652                        1000000.0                     
28.753                        1000000.0                     
28.854                        1000000.0                     
28.954                        1000000.0                     
29.056                        1000000.0                     
29.156                        1000000.0                     
29.257                        1000000.0                     
29.359                        1000000.0                     
29.46                         1000000.0                     
29.56                         1000000.0                     
29.661                        1000000.0                     
29.763                        1000000.0                     
29.864                        999000.0                      
29.965                        999000.0                      
30.065                        999000.0                      
30.166                        999000.0                      
30.266                        999000.0                      
30.368                        999000.0                      
30.468                        999000.0                      
30.57                         999000.0                      
30.671                        999000.0                      
30.771                        999000.0                      
30.873                        1000000.0                     
30.974                        1000000.0                     
31.075                        1000000.0                     
31.175                        1000000.0                     
31.276                        1000000.0                     
31.377                        1000000.0                     
31.478                        1000000.0                     
31.578                        1000000.0                     
31.679                        1000000.0                     
31.78                         1000000.0                     
31.88                         1000000.0                     
31.981                        1000000.0                     
32.082                        1000000.0                     
32.182                        1000000.0                     
32.283                        1000000.0                     
32.385                        1000000.0                     
32.485                        1000000.0                     
32.586                        1000000.0                     
32.687                        1000000.0                     
32.788                        1000000.0                     
32.889                        900000.0                      
32.989                        900000.0                      
33.09                         900000.0                      
33.19                         900000.0                      
33.291                        900000.0                      
33.391                        900000.0                      
33.492                        900000.0                      
33.592                        900000.0                      
33.692                        900000.0                      
33.793                        900000.0                      
33.894                        998000.0                      
33.994                        998000.0                      
34.094                        998000.0                      
34.195                        998000.0                      
34.296                        998000.0                      
34.398                        998000.0                      
34.498                        998000.0                      
34.599                        998000.0                      
34.699                        998000.0                      
34.801                        998000.0                      
34.901                        700000.0                      
35.001                        700000.0                      
35.102                        700000.0                      
35.203                        700000.0                      
35.303                        700000.0                      
35.404                        700000.0                      
35.505                        700000.0                      
35.606                        700000.0                      
35.707                        700000.0                      
35.807                        0.0                           
35.908                        0.0                           
36.008                        0.0                           
36.108                        0.0                           
36.208                        0.0                           
36.309                        0.0                           
36.41                         0.0                           
36.51                         0.0                           
36.611                        0.0                           
36.712                        0.0                           
36.812                        0.0                           
36.913                        0.0                           
37.014                        0.0                           
37.115                        0.0                           
37.215                        0.0                           
37.316                        0.0                           
37.417                        0.0                           
37.517                        0.0                           
37.618                        0.0                           
37.718                        0.0                           
37.819                        0.0                           
37.919                        0.0                           
38.02                         0.0                           
38.121                        0.0                           
38.222                        0.0                           
38.323                        0.0                           
38.424                        0.0                           
38.525                        0.0                           
38.626                        0.0                           
38.727                        0.0                           
38.828                        0.0                           
38.929                        0.0                           
39.029                        0.0                           
39.129                        0.0                           
39.23                         0.0                           
39.331                        0.0                           
39.431                        0.0                           
39.531                        0.0                           
39.632                        0.0                           
39.733                        0.0                           
39.834                        0.0                           
39.934                        0.0                           
40.035                        0.0                           
40.136                        0.0                           
40.237                        0.0                           
40.338                        0.0                           
40.438                        0.0                           
40.539                        0.0                           
40.64                         0.0                           
40.741                        0.0                           
40.842                        0.0                           
40.942                        0.0                           
41.042                        0.0                           
41.142                        0.0                           
41.243                        0.0                           
41.344                        0.0                           
41.444                        0.0                           
41.545                        0.0                           
41.647                        0.0                           
41.747                        0.0                           
41.847                        0.0                           
41.949                        0.0                           
42.05                         0.0                           
42.151                        0.0                           
42.252                        0.0                           
42.353                        0.0                           
42.454                        0.0                           
42.555                        0.0                           
42.656                        0.0                           
42.757                        0.0                           
42.858                        0.0                           
42.958                        0.0                           
43.058                        0.0                           
43.158                        0.0                           
43.259                        0.0                           
43.359                        0.0                           
43.459                        0.0                           
43.56                         0.0                           
43.661                        0.0                           
43.762                        0.0                           
43.863                        0.0                           
43.964                        0.0                           
44.064                        0.0                           
44.164                        0.0                           
44.265                        0.0                           
44.366                        0.0                           
44.466                        0.0                           
44.567                        0.0                           
44.667                        0.0                           
44.768                        0.0                           
44.869                        0.0                           
44.97                         0.0                           
45.07                         0.0                           
45.17                         0.0                           
45.27                         0.0                           
45.371                        0.0                           
45.472                        0.0                           
45.572                        0.0                           
45.673                        0.0                           
45.774                        0.0                           
45.875                        0.0                           
45.975                        0.0                           
46.075                        0.0                           
46.176                        0.0                           
46.276                        0.0                           
46.377                        0.0                           
46.479                        0.0                           
46.58                         0.0                           
46.68                         0.0                           
46.781                        0.0                           
46.882                        0.0                           
46.982                        0.0                           
47.083                        0.0                           
47.184                        0.0                           
47.286                        0.0                           
47.386                        0.0                           
47.487                        0.0                           
47.588                        0.0                           
47.689                        0.0                           
47.79                         0.0                           
47.891                        0.0                           
47.992                        0.0                           
48.093                        0.0                           
48.194                        0.0                           
48.295                        0.0                           
48.396                        0.0                           
48.497                        0.0                           
48.598                        0.0                           
48.699                        0.0                           
48.8                          0.0                           
48.9                          0.0                           
49.001                        0.0                           
49.102                        0.0                           
49.203                        0.0                           
49.304                        0.0                           
49.405                        0.0                           
49.506                        0.0                           
49.606                        0.0                           
49.707                        0.0                           
49.808                        0.0                           
49.908                        0.0                           
50.008                        0.0                           
50.109                        0.0                           
50.21                         0.0                           
50.31                         0.0                           
50.411                        0.0                           
50.512                        0.0                           
50.612                        0.0                           
50.713                        0.0                           
50.814                        0.0                           
50.914                        0.0                           
51.015                        0.0                           
51.116                        0.0                           
51.217                        0.0                           
51.318                        0.0                           
51.419                        0.0                           
51.52                         0.0                           
51.621                        0.0                           
51.722                        0.0                           
51.823                        0.0                           
51.923                        0.0                           
52.024                        0.0                           
52.125                        0.0                           
52.226                        0.0                           
52.326                        0.0                           
52.427                        0.0                           
52.528                        0.0                           
52.629                        0.0                           
52.729                        0.0                           
52.83                         0.0                           
52.93                         0.0                           
53.031                        0.0                           
53.132                        0.0                           
53.233                        0.0                           
53.333                        0.0                           
53.434                        0.0                           
53.535                        0.0                           
53.636                        0.0                           
53.737                        0.0                           
53.838                        0.0                           
53.938                        0.0                           
54.039                        0.0                           
54.14                         0.0                           
54.241                        0.0                           
54.342                        0.0                           
54.442                        0.0                           
54.542                        0.0                           
54.644                        0.0                           
54.744                        0.0                           
54.845                        0.0                           
54.945                        0.0                           
55.046                        0.0                           
55.147                        0.0                           
55.247                        0.0                           
55.348                        0.0                           
55.449                        0.0                           
55.55                         0.0                           
55.651                        0.0                           
55.752                        0.0                           
55.853                        0.0                           
55.954                        0.0                           
56.055                        0.0                           
56.155                        0.0                           
56.256                        0.0                           
56.357                        0.0                           
56.458                        0.0                           
56.559                        0.0                           
56.66                         0.0                           
56.761                        0.0                           
56.862                        0.0                           
56.962                        0.0                           
57.062                        0.0                           
57.162                        0.0                           
57.263                        0.0                           
57.363                        0.0                           
57.464                        0.0                           
57.565                        0.0                           
57.665                        0.0                           
57.766                        0.0                           
57.867                        0.0                           
57.968                        0.0                           
58.069                        0.0                           
58.17                         0.0                           
58.271                        0.0                           
58.371                        0.0                           
58.472                        0.0                           
58.573                        0.0                           
58.673                        0.0                           
58.774                        0.0                           
58.874                        0.0                           
58.975                        0.0                           
59.076                        0.0                           
59.177                        0.0                           
59.278                        0.0                           
59.378                        0.0                           
59.478                        0.0                           
59.579                        0.0                           
59.68                         0.0                           
59.781                        0.0                           
59.882                        0.0                           
59.983                        0.0                           
60.083                        0.0                           
60.184                        0.0                           
60.284                        0.0                           
60.385                        0.0                           
60.486                        0.0                           
60.586                        0.0                           
60.687                        0.0                           
60.788                        0.0                           
60.889                        0.0                           
60.99                         0.0                           
61.09                         0.0                           
61.19                         0.0                           
61.291                        0.0                           
61.393                        0.0                           
61.494                        0.0                           
61.594                        0.0                           
61.695                        0.0                           
61.795                        0.0                           
61.896                        0.0                           
61.996                        0.0                           
62.097                        0.0                           
62.197                        0.0                           
62.297                        0.0                           
62.398                        0.0                           
62.499                        0.0                           
62.599                        0.0                           
62.7                          0.0                           
62.802                        0.0                           
62.902                        0.0                           
63.003                        0.0                           
63.104                        0.0                           
63.205                        0.0                           
63.306                        0.0                           
63.407                        0.0                           
63.508                        0.0                           
63.608                        0.0                           
63.709                        0.0                           
63.81                         0.0                           
63.912                        0.0                           
64.012                        0.0                           
64.112                        0.0                           
64.214                        0.0                           
64.314                        0.0                           
64.415                        0.0                           
64.516                        0.0                           
64.617                        0.0                           
64.718                        0.0                           
64.819                        0.0                           
64.919                        0.0                           
65.019                        0.0                           
65.119                        0.0                           
65.22                         0.0                           
65.321                        0.0                           
65.421                        0.0                           
65.522                        0.0                           
65.623                        0.0                           
65.724                        0.0                           
65.824                        0.0                           
65.924                        0.0                           
66.025                        0.0                           
66.126                        0.0                           
66.227                        0.0                           
66.327                        0.0                           
66.428                        0.0                           
66.528                        0.0                           
66.629                        0.0                           
66.73                         0.0                           
66.831                        0.0                           
66.931                        0.0                           
67.032                        0.0                           
67.132                        0.0                           
67.233                        0.0                           
67.334                        0.0                           
67.434                        0.0                           
67.535                        0.0                           
67.636                        0.0                           
67.737                        0.0                           
67.837                        0.0                           
67.938                        0.0                           
68.039                        0.0                           
68.14                         0.0                           
68.241                        0.0                           
68.342                        0.0                           
68.443                        0.0                           
68.545                        0.0                           
68.645                        0.0                           
68.746                        0.0                           
68.847                        0.0                           
68.947                        0.0                           
69.048                        0.0                           
69.148                        0.0                           
69.249                        0.0                           
69.349                        0.0                           
69.45                         0.0                           
69.55                         0.0                           
69.651                        0.0                           
69.752                        0.0                           
69.853                        0.0                           
